name,ra,dec
The Bamboo,"[342.13858500000003, 340.666725, 340.666725, 337.439325, 337.439325, 331.52871, 331.52871, 328.48212]","[-51.316864, -46.884577, -46.884577, -43.749224, -43.749224, -39.543353, -39.543353, -37.364852]"
Path of Three,"[83.001675, 84.05338499999999, 84.05338499999999, 85.189695]","[-0.299092, -1.20192, -1.20192, -1.942572]"
Bird of Flight,"[114.825495, 101.287215, 101.287215, 95.98792499999999, 95.98792499999999, 102.04791]","[5.224993, -16.716116, -16.716116, -52.69566, -52.69566, -61.941391]"
The Tongs,"[68.98015500000001, 67.64013, 67.64013, 67.14372, 67.14372, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 66.37241999999999, 66.37241999999999, 67.154145]","[16.509301, 16.194014, 16.194014, 15.962181, 15.962181, 15.627642, 15.627642, 17.542514, 17.542514, 17.92791, 17.92791, 19.180431]"
Octopus Tentacle,"[28.66002, 31.793325000000003, 31.793325000000003, 42.495945]","[20.808035, 23.462423, 23.462423, 27.260507]"
Forward Precursor,"[326.16137999999995, 331.752705, 331.752705, 345.943515, 345.943515, 346.19022]","[25.645036, 25.345112, 25.345112, 28.082789, 28.082789, 15.205264]"
Adze,"[308.303205, 309.38724, 309.38724, 309.909525, 309.909525, 311.6646, 311.6646, 310.864725, 310.864725, 309.909525]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124296, 16.124296, 15.074581, 15.074581, 15.912072]"
The Carrying Stick,"[296.56491000000005, 297.69582, 297.69582, 298.828305]","[10.613261, 8.868322, 8.868322, 6.406763]"
Sammara Squirrelfish,"[271.452045, 276.992685, 276.992685, 283.81635, 283.81635, 287.440965, 283.81635, 292.46743499999997, 283.81635, 276.04302, 276.04302, 271.452045]","[-30.424091, -25.4217, -25.4217, -26.296722, -26.296722, -21.023615, -26.296722, -26.985615, -26.296722, -34.384616, -34.384616, -30.424091]"
Taro Plant,"[248.97064500000002, 247.35191999999998, 247.35191999999998, 245.297145, 245.297145, 240.08335499999998, 240.08335499999998, 241.35930000000002, 241.35930000000002, 246.39632999999998, 246.39632999999998, 240.08335499999998, 247.35191999999998, 239.712975, 239.712975, 239.22115499999998, 239.22115499999998, 244.57459500000002, 244.57459500000002, 239.712975]","[-28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -22.62171, -22.62171, -19.805453, -19.805453, -23.447178, -23.447178, -22.62171, -26.432002, -26.114105, -26.114105, -29.214073, -29.214073, -28.61402, -28.61402, -26.114105]"
The Net,"[219.911475, 210.955935, 210.955935, 191.930385, 191.930385, 187.791435, 187.791435, 183.786405, 183.786405, 186.649665, 186.649665, 191.930385]","[-60.833976, -60.373039, -60.373039, -59.688764, -59.688764, -57.113212, -57.113212, -58.748928, -58.748928, -63.099092, -63.099092, -59.688764]"
