name,ra,dec
Elias's Cart,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
The Bride,"[279.2346, 281.193135, 281.193135, 282.51997500000004, 282.51997500000004, 284.735925, 284.735925, 283.62618, 283.62618, 281.193135]","[38.783692, 37.605115, 37.605115, 33.362667, 33.362667, 32.689557, 32.689557, 36.898613, 36.898613, 37.605115]"
The Chicks,"[57.290595, 56.87115, 56.87115, 56.456685, 56.456685, 56.30205, 56.30205, 56.200889999999994, 56.200889999999994, 56.218905, 56.218905, 56.58156, 56.58156, 56.87115]","[24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137]"
The Cross,"[310.35798, 305.557095, 305.557095, 296.24361, 305.557095, 311.55267000000003, 305.557095, 292.680345]","[45.280338, 40.256679, 40.256679, 45.13081, 40.256679, 33.970256, 40.256679, 27.959681]"
The Crown,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
The Goat,"[79.17225, 79.17225]","[45.997991, 45.997991]"
The Grass Snakes,"[64.948335, 65.73370499999999, 65.73370499999999, 66.37241999999999, 66.37241999999999, 67.154145, 64.948335, 67.165575, 67.165575, 68.98015500000001]","[15.627642, 17.542514, 17.542514, 17.92791, 17.92791, 19.180431, 15.627642, 15.870883, 15.870883, 16.509301]"
Poland and Lithuania,"[116.329155, 113.64951]","[28.026199, 31.888276]"
The Mowers,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
The Nail,"[37.94625, 37.94625]","[89.264109, 89.264109]"
The Ploughman,"[228.87564, 225.48654000000002, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 213.91545, 213.91545, 208.671165, 213.91545, 221.24676, 221.24676, 228.87564, 208.671165, 207.369345, 221.24676, 228.87564]","[33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 19.18241, 27.074222, 27.074222, 33.314833, 18.397717, 15.797905, 27.074222, 33.314833]"
The Rake,"[83.89960500000001, 83.70003, 83.70003, 84.721185, 83.70003, 82.982745]","[-3.25284, -7.200387, -7.200387, -7.212829, -7.200387, -7.301537]"
The Ram,"[42.495945, 31.793325000000003, 31.793325000000003, 28.66002, 28.66002, 28.38255]","[27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 19.293852]"
The Serpent,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
The Sieve,"[197.49703499999998, 197.96856, 197.96856, 186.73449]","[17.529431, 27.878183, 27.878183, 28.268423]"
The Small Cart,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 244.376865, 244.376865, 230.182245, 230.182245, 222.676575, 222.676575, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]"
The Throne,"[88.792935, 83.78449499999999, 83.78449499999999, 81.282765, 81.282765, 83.001675, 83.001675, 78.63447, 88.792935, 85.189695, 85.189695, 86.939115, 86.939115, 78.63447]","[7.407063, 9.934158, 9.934158, 6.349702, 6.349702, -0.299092, -0.299092, -8.20164, 7.407063, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164]"
The Twins,"[99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 109.52324999999999, 109.52324999999999, 101.32236, 110.030745, 113.98062, 113.98062, 116.111895, 113.98062, 116.329155, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 113.64951, 107.784885, 103.19724, 107.784885, 100.98303, 100.98303, 97.240785, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
The Wild Goat,"[304.51356, 305.25280499999997, 305.25280499999997, 316.48677000000004, 316.48677000000004, 320.56164, 320.56164, 325.022715, 325.022715, 326.760165, 320.56164, 321.66677999999996, 321.66677999999996, 316.48677000000004, 305.25280499999997, 311.5239, 316.48677000000004, 312.95538]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542, -16.834542, -16.662308, -16.662308, -16.127286, -16.834542, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898, -17.232861, -26.919133]"
The Goose's Way,"[2.293305, 2.293305]","[59.14978, 59.14978]"
