name,ra,dec
Long-necked tortoise,"[116.111895, 118.37424, 116.111895, 113.98062, 118.37424, 115.82800499999999, 113.98062, 115.82800499999999, 115.82800499999999, 112.33518, 112.33518, 111.13938]","[24.397993, 26.765783, 24.397993, 26.895741, 26.765783, 28.88351, 26.895741, 28.88351, 28.88351, 28.118275, 28.118275, 27.637857]"
Fan-tailed cockatoo,"[112.277925, 113.64951, 113.78667, 113.64951, 113.64951, 114.6369, 113.64951, 117.75982499999999, 114.6369, 114.7914, 114.7914, 115.6815, 115.6815, 116.87635499999999, 116.87635499999999, 117.75982499999999]","[31.78455, 31.888276, 30.960924, 31.888276, 31.888276, 35.04855, 31.888276, 33.233653, 35.04855, 34.584346, 34.584346, 34.000218, 34.000218, 33.415697, 33.415697, 33.233653]"
Two teenage boys,"[84.79643999999999, 85.361625, 85.361625, 85.573395, 85.573395, 85.619295, 85.619295, 85.27332, 85.27332, 85.189695, 85.27332, 86.64546, 86.64546, 87.62511, 87.62511, 88.11016500000001, 83.001675, 82.43325, 85.189695, 84.68653499999999, 83.803275, 83.788365, 83.788365, 83.73537, 83.73537, 83.62203, 83.62203, 83.15824500000001, 83.15824500000001, 83.001675, 83.62203, 85.27332, 83.803275, 83.700795, 83.700795, 83.516205, 83.516205, 83.38102500000001, 83.38102500000001, 83.17229999999999, 83.17229999999999, 83.280615, 83.280615, 83.54058, 83.54058, 84.07431, 84.07431, 84.39501, 84.39501, 84.557235, 84.557235, 85.189695]","[4.121467, 3.778039, 3.778039, 2.367177, 2.367177, 1.474629, 1.474629, 0.337753, 0.337753, -1.942572, 0.337753, 1.168193, 1.168193, 2.0247, 2.0247, 1.855134, -0.299092, -1.092239, -1.942572, -2.600069, -0.735354, -0.269599, -0.269599, -0.12286, -0.12286, -0.012345, -0.012345, 0.011933, 0.011933, -0.299092, -0.012345, 0.337753, -0.735354, -0.953637, -0.953637, -1.035726, -1.035726, -1.156073, -1.156073, -1.591831, -1.591831, -1.717358, -1.717358, -1.901853, -1.901853, -1.63533, -1.63533, -1.422134, -1.422134, -1.169176, -1.169176, -1.942572]"
Girls,"[56.74749, 56.47698, 56.47698, 56.30205, 56.30205, 56.200889999999994, 56.200889999999994, 56.218905, 56.218905, 56.58156, 56.58156, 56.87115, 56.87115, 57.29673, 57.29673, 57.290595, 57.290595, 57.43137, 57.43137, 57.08673]","[24.520124, 24.554511, 24.554511, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137, 24.105137, 24.136712, 24.136712, 24.053415, 24.053415, 23.711855, 23.711855, 23.42125]"
Red kangaroo,"[58.533, 59.741249999999994, 59.741249999999994, 63.722145, 63.722145, 69.17262, 75.492225, 70.72633499999999, 70.72633499999999, 63.722145, 70.72633499999999, 79.17225, 80.06113500000001, 79.784925, 76.6287, 80.06113500000001, 80.06113500000001, 79.784925, 79.784925, 80.70966, 80.06113500000001, 80.70966, 76.6287, 75.61951499999999, 75.61951499999999, 69.17262, 69.17262, 63.722145, 75.492225, 82.70271, 80.70966, 82.70271]","[31.883635, 35.791033, 35.791033, 40.483671, 40.483671, 41.264808, 43.823308, 43.365138, 43.365138, 40.483671, 43.365138, 45.997991, 41.086212, 40.099051, 41.234474, 41.086212, 41.086212, 40.099051, 40.099051, 41.02926, 41.086212, 41.02926, 41.234474, 41.075837, 41.075837, 41.264808, 41.264808, 40.483671, 43.823308, 41.461994, 41.02926, 41.461994]"
Ring-tail possum,"[187.080375, 186.649665, 186.649665, 183.786405, 183.786405, 187.791435, 187.47582, 187.140435, 187.140435, 185.489295, 185.489295, 185.706045, 185.706045, 186.870285, 186.870285, 187.91806499999998, 187.91806499999998, 190.48576500000001, 190.48576500000001, 191.930385, 191.930385, 193.663335, 182.77453500000001, 183.786405]","[-64.340989, -63.099092, -63.099092, -58.748928, -58.748928, -57.113212, -56.52494, -56.407816, -56.407816, -56.374385, -56.374385, -57.676132, -57.676132, -58.991756, -58.991756, -59.423922, -59.423922, -59.685819, -59.685819, -59.688764, -59.688764, -59.146701, -56.401356, -58.748928]"
Red-rumped parrot,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998, 248.97064500000002, 247.35191999999998, 247.35191999999998, 245.297145, 245.297145, 235.0704]","[-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -23.818078]"
Crow,"[101.47383, 98.7441, 98.7441, 95.98792499999999, 95.98792499999999, 94.69494, 94.69494, 95.02526999999999]","[-52.409691, -52.975607, -52.975607, -52.69566, -52.69566, -50.3591, -50.3591, -48.741093]"
"Female crow, wife of War","[155.543535, 156.969735, 156.969735, 159.68751, 159.68751, 160.669035, 160.669035, 161.18762999999998, 161.18762999999998, 162.351855, 162.351855, 163.373385, 163.373385, 167.147475]","[-58.265572, -58.739403, -58.739403, -59.182997, -59.182997, -59.215759, -59.215759, -59.56519, -59.56519, -59.323793, -59.323793, -58.853171, -58.853171, -58.975037]"
Owlet nightjar,"[24.186600000000002, 23.811974999999997, 23.811974999999997, 24.42834, 24.42834, 24.78159, 24.78159, 24.947535]","[-58.270966, -58.139475, -58.139475, -57.236757, -57.236757, -56.429373, -56.429373, -56.1964]"
