name,ra,dec
Net,"[67.154145, 66.37241999999999, 66.37241999999999, 65.73370499999999, 65.73370499999999, 64.948335, 68.98015500000001, 67.14372, 67.14372, 66.58641, 66.58641, 64.948335, 64.948335, 60.17007, 68.98015500000001, 69.81874499999999]","[19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 15.627642, 16.509301, 15.962181, 15.962181, 15.618265, 15.618265, 15.627642, 15.627642, 12.490347, 16.509301, 15.917977]"
Wall,"[3.30897, 2.096865]","[15.183596, 29.090432]"
Three Stars,"[88.792935, 85.189695, 85.189695, 84.05338499999999, 84.05338499999999, 83.001675, 83.001675, 78.63447, 83.001675, 81.282765, 85.189695, 86.939115]","[7.407063, -1.942572, -1.942572, -1.20192, -1.20192, -0.299092, -0.299092, -8.20164, -0.299092, 6.349702, -1.942572, -9.669605]"
Root,"[222.719655, 228.05538, 228.05538, 233.881575, 233.881575, 229.251735]","[-16.041778, -19.79171, -19.79171, -14.789537, -14.789537, -9.382917]"
Dipper,"[273.44088, 276.992685, 276.992685, 281.4141, 281.4141, 283.81635, 283.81635, 286.73505, 286.73505, 285.65297999999996]","[-21.058834, -25.4217, -25.4217, -26.990778, -26.990778, -26.296722, -26.296722, -27.670423, -27.670423, -29.880105]"
Room,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998]","[-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073]"
Ghosts,"[127.89888000000002, 128.177085, 128.177085, 130.82146500000002, 130.82146500000002, 131.17125]","[18.09442, 20.441162, 20.441162, 21.468501, 21.468501, 18.154309]"
Winnowing Basket,"[271.452045, 275.24850000000004, 275.24850000000004, 276.04302, 276.04302, 274.406895]","[-30.424091, -29.828103, -29.828103, -34.384616, -34.384616, -36.761686]"
Horn,"[201.298245, 203.6733]","[-11.161322, -0.59582]"
Well,"[109.52324999999999, 106.027215, 106.027215, 102.887685, 102.887685, 100.98303, 102.887685, 97.240785, 97.240785, 95.740095, 97.240785, 99.42792, 99.42792, 106.027215, 99.42792, 101.32236, 95.740095, 93.719415]","[16.540383, 20.570297, 20.570297, 21.761148, 21.761148, 25.131124, 21.761148, 20.212133, 20.212133, 22.513586, 20.212133, 16.399252, 16.399252, 20.570297, 16.399252, 12.895591, 22.513586, 22.506799]"
Neck,"[213.22393499999998, 214.00362, 214.00362, 217.05057000000002, 213.22393499999998, 214.77747]","[-10.273702, -6.000547, -6.000547, -2.227957, -10.273702, -13.371095]"
Legs,"[14.301675, 11.834715000000001, 11.834715000000001, 12.471494999999999, 12.471494999999999, 9.63903, 9.63903, 9.83193, 9.83193, 9.2202, 9.2202, 12.45351, 12.45351, 14.188274999999999, 14.188274999999999, 17.43291, 17.43291, 16.546665, 16.546665, 17.91513, 17.91513, 20.280705, 20.280705, 19.866645000000002, 19.866645000000002, 18.43728, 18.43728, 17.86341, 17.86341, 16.420634999999997, 16.420634999999997, 14.301675]","[23.417648, 24.267178, 24.267178, 27.710286, 27.710286, 29.311751, 29.311751, 30.861024, 30.861024, 33.719344, 33.719344, 41.078911, 41.078911, 38.499345, 38.499345, 35.620558, 35.620558, 32.181485, 32.181485, 30.089638, 30.089638, 28.738207, 28.738207, 27.264059, 27.264059, 24.583713, 24.583713, 21.03465, 21.03465, 21.473181, 21.473181, 23.417648]"
Willow,"[129.689325, 130.80615, 130.80615, 132.10821, 132.10821, 131.693805, 129.41403, 131.693805, 132.10821, 133.84845, 133.84845, 136.49319, 136.49319, 138.591075]","[3.341435, 3.398662, 3.398662, 5.837812, 5.837812, 6.418809, 5.703782, 6.418809, 5.837812, 5.945563, 5.945563, 5.092316, 5.092316, 2.31428]"
Bond,"[31.793325000000003, 28.66002, 28.66002, 28.38255]","[23.462423, 20.808035, 20.808035, 19.293852]"
Hairy Head,"[56.218905, 56.30205, 56.30205, 56.47698, 56.47698, 56.456685, 56.218905, 56.58156, 56.58156, 56.87115, 56.87115, 57.290595]","[24.113339, 24.467278, 24.467278, 24.554511, 24.554511, 24.367748, 24.113339, 23.948358, 23.948358, 24.105137, 24.105137, 24.053415]"
Ox,"[305.25280499999997, 304.51356, 304.51356, 303.10779, 305.25280499999997, 306.83004, 306.83004, 307.474605, 307.474605, 307.21506, 306.83004, 307.21506]","[-14.781367, -12.544852, -12.544852, -12.617497, -14.781367, -18.211721, -18.211721, -18.583178, -18.583178, -17.813687, -18.211721, -17.813687]"
Girl,"[311.91897, 313.163475, 313.163475, 312.85728, 312.85728, 311.934315]","[-9.495776, -8.983318, -8.983318, -5.626633, -5.626633, -5.027701]"
Encampment,"[346.19022, 345.943515]","[15.205264, 28.082789]"
Supreme Palace Right Wall,"[177.67383, 170.28414, 170.28414, 170.98104, 170.98104, 168.560025, 168.560025, 168.52706999999998]","[1.764718, 6.029322, 6.029322, 10.529509, 10.529509, 15.42957, 15.42957, 20.523717]"
Supreme Palace Left Wall,"[184.97649, 190.415175, 190.415175, 193.90087499999998, 193.90087499999998, 195.54416999999998, 195.54416999999998, 197.49703499999998]","[-0.666803, -1.449375, -1.449375, 3.39747, 3.39747, 10.95915, 10.95915, 17.529431]"
Heavenly Market Right Wall,"[247.55502, 245.48007, 245.48007, 242.018865, 242.018865, 239.11323000000002, 239.11323000000002, 236.546895, 236.546895, 233.700615, 233.700615, 236.06697, 236.06697, 237.704025, 237.704025, 243.58641000000003, 243.58641000000003, 244.58036999999996, 244.58036999999996, 249.28974000000002]","[21.489613, 19.15313, 19.15313, 17.04698, 17.04698, 15.661617, 15.661617, 15.421826, 15.421826, 10.538867, 10.538867, 6.425627, 6.425627, 4.47773, 4.47773, -3.694323, -3.694323, -4.692511, -4.692511, -10.56709]"
Heavenly Market Left Wall,"[258.75796499999996, 262.68462, 262.68462, 266.614785, 266.614785, 271.88562, 271.88562, 283.06845, 283.06845, 286.352535, 286.352535, 284.05492499999997, 284.05492499999997, 275.32750500000003, 275.32750500000003, 269.75662500000004, 269.75662500000004, 264.396675, 264.396675, 257.59452]","[24.839204, 26.110645, 26.110645, 27.720676, 27.720676, 28.762488, 28.762488, 21.425142, 21.425142, 13.863478, 13.863478, 4.203595, 4.203595, -2.898825, -2.898825, -9.773632, -9.773632, -15.398557, -15.398557, -15.72491]"
Rooftop,"[331.445985, 332.54994, 332.54994, 326.04649500000005]","[-0.319851, 6.197865, 6.197865, 9.875011]"
Tail,"[252.54119999999998, 252.96763500000003, 252.96763500000003, 253.49885999999998, 253.49885999999998, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997, 252.96763500000003, 253.083945]","[-34.293232, -38.04738, -38.04738, -42.362025, -42.362025, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811, -38.04738, -38.017536]"
Stomach,"[40.86297, 41.9772, 41.9772, 42.495945]","[27.707146, 29.247118, 29.247118, 27.260507]"
Heart,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002]","[-25.592796, -26.432002, -26.432002, -28.216016]"
Star,"[141.89685, 142.287075, 142.287075, 142.99553999999998, 142.99553999999998, 144.96400500000001, 141.89685, 140.12090999999998, 140.12090999999998, 139.943265, 139.943265, 142.912455, 141.89685, 142.912455]","[-8.658603, -2.768964, -2.768964, -1.184664, -1.184664, -1.14281, -8.658603, -9.555695, -9.555695, -11.974853, -11.974853, -10.552013, -8.658603, -10.552013]"
Emptiness,"[322.88973, 318.955965]","[-5.571172, 5.247845]"
Wings,"[164.94366000000002, 171.22053, 164.94366000000002, 170.841225, 164.94366000000002, 162.406185, 171.22053, 176.190735, 176.190735, 170.841225, 176.190735, 179.003985, 171.22053, 169.835205, 169.835205, 174.666735, 174.666735, 171.78966, 171.78966, 171.15246, 171.15246, 166.39164, 166.39164, 165.63019500000001, 171.15246, 174.17047499999998, 174.17047499999998, 177.09786, 170.841225, 167.91453, 167.91453, 172.948155, 172.948155, 166.333005, 166.333005, 174.75182999999998]","[-18.298783, -17.68401, -18.298783, -18.779973, -18.298783, -16.193648, -17.68401, -18.350674, -18.350674, -18.779973, -18.350674, -17.150829, -17.68401, -14.778541, -14.778541, -13.201943, -13.201943, -12.356749, -12.356749, -10.859323, -10.859323, -11.088901, -11.088901, -9.994852, -10.859323, -9.802247, -9.802247, -10.313105, -18.779973, -22.825847, -22.825847, -20.776472, -20.776472, -27.293612, -27.293612, -24.721093]"
