name,ra,dec
Northern Pole,"[230.182245, 222.676575, 222.676575, 216.88137, 216.88137, 212.21247, 212.21247, 192.30744]","[71.834016, 74.155505, 74.155505, 75.695993, 75.695993, 77.547514, 77.547514, 83.412901]"
Four Advisors,"[222.58220999999998, 183.836055, 183.836055, 157.425555, 157.425555, 172.96248]","[82.511944, 87.700115, 87.700115, 84.252009, 84.252009, 81.127257]"
Celestial Great One,"[207.858075, 207.858075]","[64.723272, 64.723272]"
First Great One,"[205.37437500000001, 205.37437500000001]","[64.822411, 64.822411]"
Purple Forbidden East Wall,"[231.23241000000002, 240.47297999999998, 240.47297999999998, 245.99790000000002, 245.99790000000002, 257.19671999999997, 257.19671999999997, 275.189325, 275.189325, 302.222175, 302.222175, 337.470705, 337.470705, 20.945055]","[58.966065, 58.565251, 58.565251, 61.514213, 61.514213, 65.714683, 65.714683, 71.337814, 71.337814, 77.711419, 77.711419, 78.824285, 78.824285, 78.726056]"
Purple Forbidden West Wall,"[211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002, 172.85110500000002, 143.620545, 143.620545, 105.33918, 105.33918, 78.093555, 78.093555, 47.984355]","[64.37585, 69.788238, 69.788238, 69.331076, 69.331076, 69.830343, 69.830343, 70.808296, 70.808296, 73.946674, 73.946674, 74.393659]"
Hidden Virtue,"[228.65889, 224.396145]","[67.346722, 65.93246]"
Royal Secretary,"[241.58212499999996, 245.45304, 245.45304, 246.996, 246.996, 247.08814500000003, 247.08814500000003, 243.105705, 243.105705, 241.58212499999996]","[67.810134, 69.109391, 69.109391, 68.768137, 68.768137, 67.044, 67.044, 67.144176, 67.144176, 67.810134]"
Female Protocol,"[265.48467, 265.48467]","[72.148843, 72.148843]"
Official of Royal Archives,"[275.26104000000004, 275.26104000000004]","[72.732843, 72.732843]"
Maids-in-waiting,"[267.362325, 281.592735, 281.592735, 287.29074, 287.29074, 277.43734500000005]","[76.962881, 75.433964, 75.433964, 76.560502, 76.560502, 77.547068]"
Celestial Pillar,"[307.060305, 307.363965, 307.363965, 311.88975, 311.88975, 318.339975, 318.339975, 310.64632500000005, 310.64632500000005, 307.060305]","[81.422708, 81.091277, 81.091277, 80.552262, 80.552262, 81.230972, 81.230972, 82.531158, 82.531158, 81.422708]"
Chief Judge,"[236.66658, 232.73271]","[62.599557, 64.208693]"
Curved Array,"[342.76227, 17.184195, 17.184195, 37.94625, 37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485]","[85.373739, 86.25709, 86.25709, 89.264109, 89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493]"
Six Jia,"[32.35593, 34.188765, 34.188765, 13.720005, 13.720005, 9.948705, 9.948705, 6.78051, 6.78051, 18.069015, 18.069015, 32.35593]","[81.295945, 83.561414, 83.561414, 83.707435, 83.707435, 82.493762, 82.493762, 80.052141, 80.052141, 79.673963, 79.673963, 81.295945]"
Great Emperor of Heaven,"[351.74985, 351.74985]","[87.307504, 87.307504]"
Interior Seats of the Five Emperors,"[341.87067, 343.601835, 341.87067, 329.55606, 341.87067, 359.11494, 341.87067, 336.500745]","[83.15383, 84.346177, 83.15383, 82.869485, 83.15383, 83.191116, 83.15383, 80.701595]"
Canopy of the Emperor,"[30.489659999999997, 42.994785, 42.994785, 41.206995, 41.206995, 37.266555, 37.266555, 29.000055, 29.000055, 25.732395, 25.732395, 24.62889]","[70.90702, 68.888497, 68.888497, 67.82463, 67.82463, 67.402474, 67.402474, 68.685242, 68.685242, 70.622526, 70.622526, 73.04004]"
Canopy Support (Vassal of Canopy of the Emperor),"[62.511585, 47.928435, 47.928435, 41.94852, 41.94852, 33.2082, 33.2082, 30.737654999999997, 30.737654999999997, 31.279725, 31.279725, 31.381544999999996, 31.381544999999996, 30.793709999999997, 30.793709999999997, 30.85902]","[80.698681, 81.47071, 81.47071, 81.448475, 81.448475, 79.69154, 79.69154, 77.916263, 77.916263, 77.281341, 77.281341, 76.11506, 76.11506, 73.85057, 73.85057, 72.421294]"
