name,ra,dec
Bull's Foreleg,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617]"
Two Poles,"[211.097475, 230.182245, 230.182245, 222.676575, 222.676575, 302.222175, 222.676575, 211.097475, 288.138375, 231.23241000000002, 231.23241000000002, 240.47297999999998, 240.47297999999998, 245.99790000000002, 245.99790000000002, 257.19671999999997]","[64.37585, 71.834016, 71.834016, 74.155505, 74.155505, 77.711419, 74.155505, 64.37585, 67.661541, 58.966065, 58.966065, 58.565251, 58.565251, 61.514213, 61.514213, 65.714683]"
Lion,"[177.26494499999998, 168.52706999999998, 168.52706999999998, 165.582405, 165.582405, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 151.833135, 152.09298, 152.09298, 145.287645, 152.09298, 168.560025, 168.560025, 168.52706999999998]","[14.57206, 20.523717, 20.523717, 20.179842, 20.179842, 16.762664, 16.762664, 19.841489, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 16.762664, 11.967207, 11.967207, 9.892308, 11.967207, 15.42957, 15.42957, 20.523717]"
Two Jaws,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Sah,"[86.115855, 89.10123, 89.10123, 93.71388, 93.71388, 97.204455, 89.10123, 86.939115, 86.939115, 83.84298, 83.84298, 85.189695, 85.189695, 88.792935, 88.792935, 84.79643999999999, 84.79643999999999, 83.001675, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 83.001675, 81.119235, 81.119235, 80.986785, 80.986785, 78.63447, 78.63447, 76.962435, 76.962435, 73.562895, 73.562895, 72.80151000000001, 72.80151000000001, 72.460035, 76.962435, 78.074595, 78.074595, 78.30783, 78.30783, 78.23292, 78.23292, 76.36527, 76.36527, 68.88768, 78.23292, 83.18256000000001, 76.36527, 82.06134, 82.80313500000001, 82.06134, 82.06134, 83.18256000000001, 83.18256000000001, 86.939115]","[-22.448382, -14.1677, -14.1677, -6.274776, -6.274776, -7.033062, -14.1677, -9.669605, -9.669605, -4.42432, -4.42432, -1.942572, -1.942572, 7.407063, 7.407063, 4.121467, 4.121467, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -0.299092, -2.397146, -2.397146, -7.808065, -7.808065, -8.20164, -8.20164, -5.086446, -5.086446, 2.440672, 2.440672, 5.605104, 5.605104, 6.961276, -5.086446, -11.869219, -11.869219, -12.941291, -12.941291, -16.205468, -16.205468, -22.371032, -22.371032, -30.562341, -16.205468, -17.822289, -22.371032, -20.759441, -35.470519, -20.759441, -20.759441, -17.822289, -17.822289, -9.669605]"
Bird,"[28.27044, 32.38587, 32.38587, 47.37387, 47.37387, 41.04951, 41.04951, 42.674175, 42.674175, 51.08067, 51.08067, 61.646024999999995, 61.646024999999995, 63.724425, 63.724425, 55.479135, 55.479135, 59.741249999999994, 59.741249999999994, 56.146275, 56.146275, 47.04222, 47.04222, 42.645945, 42.645945, 34.328595, 34.328595, 28.27044]","[29.578829, 34.987297, 34.987297, 44.857544, 44.857544, 49.228448, 49.228448, 55.895496, 55.895496, 49.86118, 49.86118, 50.351262, 50.351262, 48.409331, 48.409331, 43.514373, 43.514373, 35.791033, 35.791033, 35.855729, 35.855729, 40.955648, 40.955648, 38.318644, 38.318644, 33.847194, 33.847194, 29.578829]"
Sek,"[124.12884000000001, 136.49319, 136.49319, 138.591075, 138.591075, 144.96400500000001, 144.96400500000001, 169.835205, 169.835205, 171.22053, 171.22053, 173.25057, 173.25057, 166.333005, 166.333005, 156.52263, 156.52263, 147.86955, 147.86955, 141.89685, 141.89685, 129.689325, 129.689325, 124.12884000000001]","[9.185545, 5.092316, 5.092316, 2.31428, 2.31428, -1.14281, -1.14281, -14.778541, -14.778541, -17.68401, -17.68401, -31.857625, -31.857625, -27.293612, -27.293612, -16.83629, -16.83629, -14.846603, -14.846603, -8.658603, -8.658603, 3.341435, 3.341435, 9.185545]"
Triangle,"[103.547505, 101.287215, 101.287215, 105.939555, 105.939555, 103.547505]","[-12.038628, -16.716116, -16.716116, -15.633286, -15.633286, -12.038628]"
Ferry Boat,"[120.896055, 122.38314]","[-40.003148, -47.336588]"
Boat,"[325.50288, 320.56164, 321.04788, 317.39853, 317.39853, 314.21976, 326.760165, 325.022715, 325.022715, 322.180815, 322.180815, 321.66677999999996, 321.66677999999996, 316.78195500000004, 316.78195500000004, 312.95538, 312.95538, 311.5239, 311.5239, 305.25280499999997, 305.25280499999997, 304.51356]","[-23.262858, -16.834542, -12.878108, -11.371693, -11.371693, -22.005746, -16.127286, -16.662308, -16.662308, -21.80718, -21.80718, -22.411332, -22.411332, -25.005853, -25.005853, -26.919133, -26.919133, -25.270898, -25.270898, -14.781367, -14.781367, -12.544852]"
