name,ra,dec
The Canoe Bailer of Makali`i,"[101.287215, 114.825495, 114.825495, 116.329155, 116.329155, 113.64951, 113.64951, 89.88223500000001, 89.88223500000001, 89.930265, 89.930265, 81.57297, 81.57297, 74.24840999999999, 74.24840999999999, 79.17225, 79.17225, 89.88223500000001, 101.287215, 95.674935, 95.674935, 95.98792499999999]","[-16.716116, 5.224993, 5.224993, 28.026199, 28.026199, 31.888276, 31.888276, 44.947433, 44.947433, 37.212585, 37.212585, 28.60745, 28.60745, 33.16609, 33.16609, 45.997991, 45.997991, 44.947433, -16.716116, -17.955918, -17.955918, -52.69566]"
The Cat's Cradle,"[88.792935, 85.189695, 85.189695, 86.939115, 86.939115, 78.63447, 78.63447, 83.001675, 83.001675, 81.282765, 81.282765, 88.792935, 85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[7.407063, -1.942572, -1.942572, -9.669605, -9.669605, -8.20164, -8.20164, -0.299092, -0.299092, 6.349702, 6.349702, 7.407063, -1.942572, -1.20192, -1.20192, -0.299092]"
The Chief's Eyes,"[56.218905, 56.200889999999994]","[24.113339, 24.28947]"
Voice of Joy,"[187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 188.596815, 188.596815, 187.466085]","[-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -23.396759, -23.396759, -16.515432]"
The Seven,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617]"
The Backbone,"[37.94625, 165.93232500000002, 206.88531, 213.91545, 213.91545, 201.298245, 187.466085, 201.298245, 185.232135, 187.791435]","[89.264109, 61.751033, 49.313265, 19.18241, 19.18241, -11.161322, -16.515432, -11.161322, -13.565724, -57.113212]"
The Chief's Fishline,"[263.402175, 265.62198, 265.62198, 266.89617000000004, 266.89617000000004, 264.3297, 264.3297, 258.03828, 258.03828, 253.49885999999998, 253.49885999999998, 252.96763500000003, 252.96763500000003, 252.54119999999998, 252.54119999999998, 248.97064500000002, 248.97064500000002, 247.35191999999998, 247.35191999999998, 245.297145, 245.297145, 240.08335499999998, 241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975]","[-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -22.62171, -19.805453, -22.62171, -22.62171, -26.114105]"
Navigator's Triangle,"[310.35798, 297.69582, 297.69582, 279.2346, 279.2346, 310.35798, 292.680345, 296.24361, 296.24361, 305.557095, 305.557095, 311.55267000000003, 311.55267000000003, 310.35798, 310.35798, 305.557095]","[45.280338, 8.868322, 8.868322, 38.783692, 38.783692, 45.280338, 27.959681, 45.13081, 45.13081, 40.256679, 40.256679, 33.970256, 33.970256, 45.280338, 45.280338, 40.256679]"
Kite of Kawelo,"[2.096865, 345.943515, 345.943515, 346.19022, 346.19022, 3.30897, 3.30897, 2.096865, 344.41256999999996, 346.19022, 2.293305, 2.096865, 10.89735, 6.5708400000000005, 3.30897, 10.89735, 345.943515, 342.442815]","[29.090432, 28.082789, 28.082789, 15.205264, 15.205264, 15.183596, 15.183596, 29.090432, -29.622236, 15.205264, 59.14978, 29.090432, -17.986605, -42.305981, 15.183596, -17.986605, 28.082789, 55.902777]"
Chief Frigate Bird,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Cared for by Moon,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
The Pointers,"[219.911475, 210.955935]","[-60.833976, -60.373039]"
Leo,"[177.26494499999998, 168.52706999999998, 168.52706999999998, 168.560025, 168.560025, 152.09298, 152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 177.26494499999998, 168.560025]","[14.57206, 20.523717, 20.523717, 15.42957, 15.42957, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 14.57206, 15.42957]"
