name,ra,dec
With Horses,"[28.38255, 28.66002]","[19.293852, 20.808035]"
Bearer,"[40.86297, 41.9772, 41.9772, 42.495945]","[27.707146, 29.247118, 29.247118, 27.260507]"
Cutter,"[57.29673, 57.290595, 57.290595, 56.87115, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.30205, 56.30205, 56.456685, 56.456685, 56.47698]","[24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.367748, 24.367748, 24.554511]"
Climber,"[68.98015500000001, 68.98015500000001]","[16.509301, 16.509301]"
Deer's head,"[83.78449499999999, 83.70516, 83.70516, 84.22662]","[9.934158, 9.489579, 9.489579, 9.290673]"
Deer Hunter,"[103.547505, 105.939555, 105.939555, 104.03426999999999, 104.03426999999999, 101.287215, 101.287215, 105.756135, 105.756135, 107.097855, 107.097855, 108.702735, 108.702735, 111.02376, 104.656455, 105.42978000000001, 105.42978000000001, 107.097855, 103.533135, 99.17098499999999, 99.17098499999999, 98.76411, 99.17098499999999, 95.674935, 99.17098499999999, 101.287215, 104.656455, 102.460245, 95.078295, 104.656455, 104.03426999999999, 103.547505, 103.533135, 104.656455]","[-12.038628, -15.633286, -15.633286, -17.054242, -17.054242, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -24.184211, -19.255879, -19.255879, -22.964793, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478, -30.063367, -28.972084, -17.054242, -12.038628, -24.184211, -28.972084]"
Arrow,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Reed forest,"[80.44062, 104.844345]","[-0.382465, 25.235705]"
Moist,"[88.792935, 88.792935]","[7.407063, 7.407063]"
Wealth-restorer,"[113.64951, 116.329155]","[31.888276, 28.026199]"
Nourisher,"[131.17125, 127.89888000000002]","[18.154309, 18.09442]"
Embrace,"[131.693805, 129.41403, 129.41403, 129.689325, 129.689325, 130.80615, 130.80615, 132.10821]","[6.418809, 5.703782, 5.703782, 3.341435, 3.341435, 3.398662, 3.398662, 5.837812]"
Bountiful,"[152.09298, 152.09298]","[11.967207, 11.967207]"
Former Fruitful,"[168.52706999999998, 168.560025]","[20.523717, 15.42957]"
Latter Fruitful,"[177.26494499999998, 176.99643]","[14.57206, 20.218931]"
Hand,"[187.466085, 188.596815, 187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 182.103375, 182.53119, 188.596815]","[-16.515432, -23.396759, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -23.396759]"
Spectacular,"[201.298245, 201.298245]","[-11.161322, -11.161322]"
Self mover,"[213.91545, 213.91545]","[19.18241, 19.18241]"
Well branched,"[233.881575, 229.251735, 229.251735, 222.719655, 229.251735, 228.05538]","[-14.789537, -9.382917, -9.382917, -16.041778, -9.382917, -19.79171]"
Following Rādhā,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975]","[-19.805453, -22.62171, -22.62171, -26.114105]"
Elder,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002]","[-25.592796, -26.432002, -26.432002, -28.216016]"
Root,"[252.54119999999998, 253.083945, 253.083945, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997]","[-34.293232, -38.017536, -38.017536, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811]"
Former invincible one,"[276.04302, 275.24850000000004]","[-34.384616, -29.828103]"
Latter invincible one,"[283.81635, 285.65297999999996]","[-26.296722, -29.880105]"
The first of the blessed feet,"[345.943515, 346.19022]","[28.082789, 15.205264]"
The second of the blessed feet,"[3.30897, 2.05692]","[15.183596, 29.732273]"
Victorious,"[281.094915, 279.2346, 279.2346, 281.193135]","[39.612721, 38.783692, 38.783692, 37.605115]"
Ear,"[298.828305, 297.69582, 297.69582, 296.56491000000005]","[6.406763, 8.868322, 8.868322, 10.613261]"
Wealthiest,"[310.864725, 309.909525]","[15.074581, 15.912072]"
Hundred cures,"[335.41407000000004, 335.41407000000004]","[-1.387331, -1.387331]"
Leaper,"[18.432855, 18.432855]","[7.575354, 7.575354]"
Aries,"[42.495945, 31.793325000000003, 31.793325000000003, 28.66002, 28.66002, 29.48217, 29.48217, 31.793325000000003, 42.495945, 41.9772, 42.495945, 44.80302, 44.80302, 47.90733, 44.80302, 33.200325, 33.200325, 31.793325000000003, 33.200325, 28.38255]","[27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 23.596061, 23.596061, 23.462423, 27.260507, 29.247118, 27.260507, 21.340429, 21.340429, 19.726677, 21.340429, 21.210993, 21.210993, 23.462423, 21.210993, 19.293852]"
Taurus,"[81.57297, 70.56126, 70.56126, 67.154145, 67.154145, 84.41119499999999, 64.948335, 65.73370499999999, 64.948335, 60.17007, 60.17007, 52.718235, 68.98015500000001, 67.154145, 68.98015500000001, 67.165575, 67.165575, 64.948335, 67.154145, 66.37241999999999, 66.37241999999999, 65.73370499999999, 65.73370499999999, 57.290595, 57.290595, 52.718235, 60.78909, 60.17007, 52.718235, 51.20331]","[28.60745, 22.956926, 22.956926, 19.180431, 19.180431, 21.142549, 15.627642, 17.542514, 15.627642, 12.490347, 12.490347, 12.936678, 16.509301, 19.180431, 16.509301, 15.870883, 15.870883, 15.627642, 19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 24.053415, 24.053415, 12.936678, 5.989305, 12.490347, 12.936678, 9.02887]"
Gemini,"[99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 109.52324999999999, 109.52324999999999, 101.32236, 110.030745, 113.98062, 113.98062, 116.111895, 113.98062, 116.329155, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 113.64951, 107.784885, 103.19724, 107.784885, 100.98303, 100.98303, 97.240785, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
Cancer,"[131.67426, 130.82146500000002, 130.82146500000002, 125.01608999999999, 130.82146500000002, 131.17125, 131.17125, 134.62176, 124.12884000000001, 131.17125]","[28.759898, 21.468501, 21.468501, 27.217707, 21.468501, 18.154309, 18.154309, 11.857701, 9.185545, 18.154309]"
Leo,"[170.28414, 170.98104, 170.98104, 168.560025, 168.560025, 152.09298, 152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 168.52706999999998, 168.52706999999998, 177.26494499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 168.52706999999998, 168.560025, 152.09298, 145.287645]","[6.029322, 10.529509, 10.529509, 15.42957, 15.42957, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 20.523717, 20.523717, 14.57206, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 20.523717, 15.42957, 11.967207, 9.892308]"
Virgo,"[176.46483, 184.66798500000002, 184.66798500000002, 190.415175, 190.415175, 201.298245, 201.298245, 213.22393499999998, 213.22393499999998, 214.00362, 214.00362, 220.765095, 201.298245, 203.6733, 203.6733, 210.411645, 210.411645, 221.56217999999998, 203.6733, 193.90087499999998, 193.90087499999998, 195.54416999999998, 193.90087499999998, 190.415175]","[6.529376, -0.787184, -0.787184, -1.449375, -1.449375, -11.161322, -11.161322, -10.273702, -10.273702, -6.000547, -6.000547, -5.658207, -11.161322, -0.59582, -0.59582, 1.544532, 1.544532, 1.892885, -0.59582, 3.39747, 3.39747, 10.95915, 3.39747, -1.449375]"
Libra,"[229.251735, 233.881575, 233.881575, 238.456395, 238.456395, 239.547375, 239.547375, 229.251735, 229.251735, 222.719655, 222.719655, 226.017585, 226.017585, 234.66405, 234.66405, 234.25605, 234.25605, 226.017585, 226.017585, 228.05538, 228.05538, 229.251735]","[-9.382917, -14.789537, -14.789537, -16.729293, -16.729293, -14.279358, -14.279358, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965, -25.281965, -29.777754, -29.777754, -28.135079, -28.135079, -25.281965, -25.281965, -19.79171, -19.79171, -9.382917]"
Scorpius,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 240.08335499999998, 245.297145, 245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 253.083945, 253.083945, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997, 247.35191999999998, 239.712975, 247.35191999999998, 241.35930000000002]","[-25.592796, -26.432002, -26.432002, -28.216016, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.017536, -38.017536, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811, -26.432002, -26.114105, -26.432002, -19.805453]"
