name,ra,dec
Two Sunbeams,"[297.69582, 296.56491000000005]","[8.868322, 10.613261]"
Two Placed Far Apart,"[88.792935, 81.282765]","[7.407063, 6.349702]"
Dogs,"[68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
Collarbones,"[79.17225, 89.88223500000001, 89.88223500000001, 113.64951, 113.64951, 116.329155]","[45.997991, 44.947433, 44.947433, 31.888276, 31.888276, 28.026199]"
Lamp Stand,"[14.177145, 10.126740000000002, 10.126740000000002, 2.293305, 2.293305, 14.177145]","[60.71674, 56.537331, 56.537331, 59.14978, 59.14978, 60.71674]"
Caribou,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
Two in Front,"[208.671165, 213.91545]","[18.397717, 19.18241]"
Breastbone,"[57.29673, 57.290595, 57.290595, 56.87115, 56.87115, 57.29673, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.30205, 56.30205, 56.87115]","[24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.136712, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137]"
Runners,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Blubber Container,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 12.2739, 12.2739, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 57.815187, 57.815187, 56.537331, 56.537331, 59.14978]"
The One Behind,"[279.2346, 279.2346]","[38.783692, 38.783692]"
