name,ra,dec
Horn,"[201.298245, 203.6733]","[-11.161322, -0.59582]"
Neck,"[214.77747, 213.22393499999998, 213.22393499999998, 214.00362, 214.00362, 217.05057000000002]","[-13.371095, -10.273702, -10.273702, -6.000547, -6.000547, -2.227957]"
Root,"[228.05538, 222.719655, 222.719655, 229.251735, 229.251735, 233.881575, 233.881575, 228.05538]","[-19.79171, -16.041778, -16.041778, -9.382917, -9.382917, -14.789537, -14.789537, -19.79171]"
Chamber,"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 239.712975, 239.22115499999998]","[-19.805453, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073]"
Heart,"[245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002]","[-25.592796, -26.432002, -26.432002, -28.216016]"
Tail,"[252.54119999999998, 252.96763500000003, 252.96763500000003, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175, 263.402175, 262.69097999999997]","[-34.293232, -38.04738, -38.04738, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821, -37.103821, -37.295811]"
Basket,"[275.24850000000004, 271.452045, 271.452045, 274.406895, 274.406895, 276.04302, 276.04302, 275.24850000000004]","[-29.828103, -30.424091, -30.424091, -36.761686, -36.761686, -34.384616, -34.384616, -29.828103]"
Dipper,"[286.73505, 283.81635, 283.81635, 281.4141, 281.4141, 285.65297999999996, 285.65297999999996, 286.73505]","[-27.670423, -26.296722, -26.296722, -26.990778, -26.990778, -29.880105, -29.880105, -27.670423]"
Cow,"[304.51356, 305.25280499999997, 305.25280499999997, 307.21506, 307.21506, 306.83004]","[-12.544852, -14.781367, -14.781367, -17.813687, -17.813687, -18.211721]"
Woman,"[311.91897, 313.163475, 313.163475, 313.03623, 313.03623, 311.934315, 311.934315, 311.91897]","[-9.495776, -8.983318, -8.983318, -5.507059, -5.507059, -5.027701, -5.027701, -9.495776]"
Emptiness,"[322.88973, 318.955965]","[-5.571172, 5.247845]"
Roof Top,"[331.445985, 326.04649500000005, 326.04649500000005, 332.54994, 332.54994, 331.445985]","[-0.319851, 9.875011, 9.875011, 6.197865, 6.197865, -0.319851]"
Room,"[346.19022, 345.943515]","[15.205264, 28.082789]"
Wall,"[3.30897, 2.096865]","[15.183596, 29.090432]"
Stride,"[17.86341, 14.301675, 14.301675, 11.834715000000001, 11.834715000000001, 9.63903, 9.63903, 9.83193, 9.83193, 9.2202, 9.2202, 12.45351, 12.45351, 14.188274999999999, 14.188274999999999, 17.43291, 17.43291, 17.91513, 17.91513, 19.866645000000002, 19.866645000000002, 18.43728, 18.43728, 17.86341]","[21.03465, 23.417648, 23.417648, 24.267178, 24.267178, 29.311751, 29.311751, 30.861024, 30.861024, 33.719344, 33.719344, 41.078911, 41.078911, 38.499345, 38.499345, 35.620558, 35.620558, 30.089638, 30.089638, 27.264059, 27.264059, 24.583713, 24.583713, 21.03465]"
Hill,"[28.38255, 28.66002, 28.66002, 31.793325000000003]","[19.293852, 20.808035, 20.808035, 23.462423]"
Stomach,"[42.495945, 40.86297, 40.86297, 41.9772, 41.9772, 42.495945]","[27.260507, 27.707146, 27.707146, 29.247118, 29.247118, 27.260507]"
Stopping Place,"[56.218905, 56.30205, 56.30205, 56.87115, 56.87115, 56.58156, 56.58156, 56.218905]","[24.113339, 24.467278, 24.467278, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339]"
Net,"[67.154145, 65.73370499999999, 65.73370499999999, 64.42926, 64.948335, 67.165575, 67.165575, 68.98015500000001]","[19.180431, 17.542514, 17.542514, 13.836592, 15.627642, 15.870883, 15.870883, 16.509301]"
Turtle Snout,"[84.22662, 83.70516, 83.70516, 83.78449499999999, 83.78449499999999, 84.22662]","[9.290673, 9.489579, 9.489579, 9.934158, 9.934158, 9.290673]"
Investigator,"[88.792935, 81.282765, 81.282765, 83.001675, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 83.001675, 78.63447]","[7.407063, 6.349702, 6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -0.299092, -8.20164]"
Well,"[95.740095, 97.240785, 97.240785, 99.42792, 99.42792, 101.32236, 100.98303, 102.887685, 102.887685, 106.027215, 106.027215, 109.52324999999999, 102.887685, 97.240785, 106.027215, 99.42792]","[22.513586, 20.212133, 20.212133, 16.399252, 16.399252, 12.895591, 25.131124, 21.761148, 21.761148, 20.570297, 20.570297, 16.540383, 21.761148, 20.212133, 20.570297, 16.399252]"
Ogre,"[131.17125, 127.89888000000002, 127.89888000000002, 128.177085, 128.177085, 130.82146500000002, 130.82146500000002, 131.17125]","[18.154309, 18.09442, 18.09442, 20.441162, 20.441162, 21.468501, 21.468501, 18.154309]"
Willow,"[129.689325, 129.41403, 129.41403, 131.693805, 131.693805, 133.84845, 133.84845, 136.49319, 136.49319, 138.591075, 131.693805, 130.80615]","[3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.945563, 5.945563, 5.092316, 5.092316, 2.31428, 6.418809, 3.398662]"
Stars,"[144.96400500000001, 142.99553999999998, 142.99553999999998, 142.287075, 142.287075, 141.89685, 141.89685, 140.12090999999998, 140.12090999999998, 139.943265]","[-1.14281, -1.184664, -1.184664, -2.768964, -2.768964, -8.658603, -8.658603, -9.555695, -9.555695, -11.974853]"
Stretched Net,"[145.07652000000002, 147.86955, 147.86955, 151.28112, 151.28112, 152.647005, 152.647005, 156.52263, 156.52263, 159.645645]","[-14.332292, -14.846603, -14.846603, -13.064626, -13.064626, -12.354083, -12.354083, -16.83629, -16.83629, -16.876572]"
Wings,"[162.406185, 164.94366000000002, 164.94366000000002, 169.835205, 169.835205, 174.17047499999998, 174.17047499999998, 171.15246, 171.15246, 165.811995, 166.333005, 167.91453, 167.91453, 176.190735, 176.190735, 171.22053]","[-16.193648, -18.298783, -18.298783, -14.778541, -14.778541, -9.802247, -9.802247, -10.859323, -10.859323, -11.30347, -27.293612, -22.825847, -22.825847, -18.350674, -18.350674, -17.68401]"
Chariot Cross-Board,"[182.53119, 183.95155499999998, 183.95155499999998, 187.466085, 187.466085, 188.596815, 188.596815, 182.53119]","[-22.619766, -17.541929, -17.541929, -16.515432, -16.515432, -23.396759, -23.396759, -22.619766]"
