name,ra,dec
Spirit of the black curassow,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
Grill,"[3.30897, 346.19022, 346.19022, 345.943515, 345.943515, 2.096865, 2.096865, 3.30897]","[15.183596, 15.205264, 15.205264, 28.082789, 28.082789, 29.090432, 29.090432, 15.183596]"
Scores of stars,"[57.290595, 56.87115, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.200889999999994, 56.200889999999994, 56.30205, 56.30205, 56.87115]","[24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.28947, 24.28947, 24.467278, 24.467278, 24.105137]"
Man without a thigh,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Jaw of the tapir,"[68.98015500000001, 67.14372, 67.14372, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.962181, 15.962181, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
Spirit of the awara palm,"[197.96856, 196.79469, 196.79469, 192.92467499999998, 192.92467499999998, 192.32274, 192.32274, 187.227945, 187.227945, 186.747075, 186.747075, 186.60027, 186.60027, 186.73449, 187.227945, 187.75234500000002, 187.75234500000002, 188.39259, 187.227945, 186.07719, 186.07719, 185.08200000000002, 187.227945, 187.362675, 187.227945, 185.626305, 185.626305, 185.074005, 187.227945, 186.11169, 186.11169, 185.545125, 187.227945, 186.312945, 187.227945, 185.172405]","[27.878183, 27.624741, 27.624741, 27.540712, 27.540712, 27.552379, 27.552379, 25.912852, 25.912852, 26.825699, 26.825699, 27.268237, 27.268237, 28.268423, 25.912852, 24.567168, 24.567168, 24.282984, 25.912852, 26.098606, 26.098606, 26.619482, 25.912852, 24.108925, 25.912852, 25.84616, 25.84616, 26.001875, 25.912852, 25.582404, 25.582404, 24.773866, 25.912852, 23.926202, 25.912852, 27.054545]"
Spirit of the blue crab,"[83.56989, 82.810545, 82.810545, 81.70929, 81.70929, 80.70834, 80.70834, 79.796745, 79.796745, 79.17100500000001, 79.17100500000001, 77.938965, 77.938965, 76.348815, 76.348815, 74.63709, 74.63709, 73.562895, 73.562895, 72.80151000000001, 72.80151000000001, 72.460035, 72.460035, 72.65301, 83.78449499999999, 84.22662, 72.65301, 73.695405, 73.695405, 74.092815, 74.092815, 76.14229499999999, 76.14229499999999, 77.923185, 77.923185, 80.907105, 80.907105, 81.940035, 81.940035, 82.60902, 82.60902, 83.476185, 83.476185, 83.78449499999999, 83.78449499999999, 84.22662, 84.22662, 84.590565, 84.590565, 84.50466]","[3.766895, 3.292133, 3.292133, 3.095674, 3.095674, 3.544452, 3.544452, 2.595806, 2.595806, 1.947328, 1.947328, 1.037028, 1.037028, 1.177627, 1.177627, 1.714016, 1.714016, 2.440672, 2.440672, 5.605104, 5.605104, 6.961276, 6.961276, 8.900176, 9.934158, 9.290673, 8.900176, 11.426006, 11.426006, 13.514466, 13.514466, 15.404105, 15.404105, 16.045673, 16.045673, 16.699298, 16.699298, 15.874052, 15.874052, 15.360449, 15.360449, 14.305578, 14.305578, 9.934158, 9.934158, 9.290673, 9.290673, 8.48731, 8.48731, 7.54142]"
Spirit of the cocoi heron,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617]"
Spirit of the four-eyed fish,"[262.69097999999997, 263.402175]","[-37.295811, -37.103821]"
Spirit of green sea turtle,"[250.32169500000003, 255.07240499999997, 250.32169500000003, 247.55502, 247.55502, 245.48007, 245.48007, 239.11323000000002, 239.11323000000002, 236.546895, 236.546895, 237.184905, 250.32169500000003, 250.72399499999997, 250.72399499999997, 248.52575999999996, 248.52575999999996, 244.935165, 244.935165, 242.19243, 250.32169500000003, 239.39691000000002, 239.39691000000002, 237.39855, 237.39855, 235.68571500000002, 235.68571500000002, 233.67192, 233.67192, 231.95727, 231.95727, 228.87564, 228.87564, 231.122715]","[31.602726, 30.926405, 31.602726, 21.489613, 21.489613, 19.15313, 19.15313, 15.661617, 15.661617, 15.421826, 15.421826, 18.141564, 31.602726, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 44.934906, 31.602726, 26.87788, 26.87788, 26.068394, 26.068394, 26.295637, 26.295637, 26.714693, 26.714693, 29.105703, 29.105703, 33.314833, 33.314833, 37.377167]"
