name,ra,dec
'Aramii' (organized group of thieves),"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
Mother Hen,"[57.290595, 56.87115, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.30205, 56.30205, 56.456685, 56.456685, 56.87115]","[24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.367748, 24.367748, 24.105137]"
Plough,"[84.68653499999999, 85.189695, 85.189695, 84.05338499999999]","[-2.600069, -1.942572, -1.942572, -1.20192]"
Oxen,"[84.05338499999999, 83.001675]","[-1.20192, -0.299092]"
Libra,"[86.939115, 78.63447, 80.986785, 78.074595, 80.986785, 79.99593, 80.986785, 81.333945, 81.333945, 79.99593, 79.99593, 78.074595, 78.074595, 78.30783, 78.30783, 79.893855, 79.893855, 81.333945]","[-9.669605, -8.20164, -7.808065, -11.869219, -7.808065, -12.315585, -7.808065, -12.554091, -12.554091, -12.315585, -12.315585, -11.869219, -11.869219, -12.941291, -12.941291, -13.176788, -13.176788, -12.554091]"
Yoke,"[59.46345, 47.04222]","[40.010215, 40.955648]"
Wolves,"[114.825495, 101.287215]","[5.224993, -16.716116]"
Threshing Floor,"[11.763480000000001, 10.505955]","[41.964834, 40.688258]"
Hawk,"[80.16318, 77.678775]","[46.963783, 46.96207]"
Cross,"[311.6646, 309.38724, 310.864725, 309.909525]","[16.124296, 14.595087, 15.074581, 15.912072]"
Fox,"[68.98015500000001, 68.3877, 68.3877, 69.31157999999999, 69.31157999999999, 71.57011499999999]","[16.509301, 18.016722, 18.016722, 18.543031, 18.543031, 18.734693]"
Tongs,"[289.09206, 288.997875, 288.997875, 291.90165]","[38.133731, 27.926302, 27.926302, 37.941197]"
Ploughman,"[88.792935, 91.893015, 91.893015, 92.984985]","[7.407063, 14.768472, 14.768472, 14.208765]"
Cock,"[81.57297, 81.78447, 81.78447, 81.1605, 81.1605, 78.851655]","[28.60745, 30.208603, 30.208603, 31.143148, 31.143148, 32.6876]"
Trivet,"[279.2346, 282.51997500000004, 279.2346, 288.43953, 282.51997500000004, 284.735925]","[38.783692, 33.362667, 38.783692, 39.145968, 33.362667, 32.689557]"
Round Table,"[240.360705, 239.39691000000002, 239.39691000000002, 237.39855, 237.39855, 235.68571500000002, 235.68571500000002, 233.67192, 233.67192, 231.95727, 231.95727, 233.23243499999998]","[29.851061, 26.87788, 26.87788, 26.068394, 26.068394, 26.295637, 26.295637, 26.714693, 26.714693, 29.105703, 29.105703, 31.359133]"
Pigs,"[67.154145, 65.73370499999999, 65.73370499999999, 64.948335]","[19.180431, 17.542514, 17.542514, 15.627642]"
Auger,"[305.557095, 311.55267000000003, 305.557095, 310.35798, 305.557095, 296.24361, 305.557095, 292.680345]","[40.256679, 33.970256, 40.256679, 45.280338, 40.256679, 45.13081, 40.256679, 27.959681]"
Part of Plough 'Ushi',"[21.453239999999997, 14.177145, 14.177145, 2.293305, 2.293305, 10.126740000000002]","[60.235283, 60.71674, 60.71674, 59.14978, 59.14978, 56.537331]"
