name,ra,dec
Hole-backed Caiman,"[21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305, 2.293305, 310.35798, 310.35798, 305.557095, 305.557095, 303.81622500000003, 305.557095, 279.2346]","[60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978, 59.14978, 45.280338, 45.280338, 40.256679, 40.256679, 25.591957, 40.256679, 38.783692]"
Turtle,"[85.189695, 83.001675]","[-1.942572, -0.299092]"
Primordial Fire,"[86.939115, 78.63447, 78.63447, 85.189695, 86.939115, 85.189695]","[-9.669605, -8.20164, -8.20164, -1.942572, -9.669605, -1.942572]"
Pecaries,"[116.329155, 113.64951, 113.64951, 116.87635499999999]","[28.026199, 31.888276, 31.888276, 33.415697]"
Shark,"[211.592895, 211.670925, 211.670925, 234.25605, 211.670925, 200.14944, 200.14944, 208.885005, 208.885005, 218.87679, 218.87679, 224.63305499999998, 224.63305499999998, 220.482345]","[-26.682361, -36.369954, -36.369954, -28.135079, -36.369954, -36.712295, -36.712295, -47.288375, -47.288375, -42.157824, -42.157824, -43.13396, -43.13396, -47.3882]"
Scorpion,"[247.35191999999998, 239.22115499999998, 239.22115499999998, 247.845555, 247.845555, 253.64596500000002, 247.845555, 235.659675]","[-26.432002, -29.214073, -29.214073, -34.704366, -34.704366, -42.361313, -34.704366, -37.424935]"
Snake,"[283.81635, 285.65297999999996, 285.65297999999996, 276.04302, 276.04302, 271.452045, 276.04302, 274.406895, 274.406895, 264.3297, 264.3297, 276.74341499999997, 276.74341499999997, 284.680815, 284.680815, 286.60456500000004, 286.60456500000004, 287.50731, 287.50731, 285.77860499999997]","[-26.296722, -29.880105, -29.880105, -34.384616, -34.384616, -30.424091, -34.384616, -36.761686, -36.761686, -42.997824, -42.997824, -45.968459, -45.968459, -37.107357, -37.107357, -37.063437, -37.063437, -39.340796, -39.340796, -42.095105]"
Paddler Gods,"[186.649665, 101.287215]","[-63.099092, -16.716116]"
Bat,"[17.147460000000002, 10.89735, 10.89735, 4.856985, 14.65149, 17.147460000000002, 4.856985, 5.379975, 5.379975, 14.65149]","[-10.182264, -17.986605, -17.986605, -8.823921, -29.357449, -10.182264, -8.823921, -28.981469, -28.981469, -29.357449]"
Owl,"[60.78909, 63.88357500000001, 68.98015500000001, 64.948335, 64.948335, 67.154145, 64.948335, 60.17007, 64.948335, 63.88357500000001, 69.539415, 64.948335, 69.539415, 72.460035, 60.17007, 57.067785, 57.067785, 56.41851]","[5.989305, 8.892357, 16.509301, 15.627642, 15.627642, 19.180431, 15.627642, 12.490347, 15.627642, 8.892357, 12.510838, 15.627642, 12.510838, 6.961276, 12.490347, 11.143294, 11.143294, 6.049991]"
Vulture,"[41.239920000000005, 41.235585, 41.235585, 36.204405, 41.235585, 37.039755, 41.235585, 45.56988, 37.039755, 40.82517]","[12.445761, 10.114146, 10.114146, 10.610565, 10.114146, 8.460054, 10.114146, 4.089734, 8.460054, 3.235818]"
Death,"[155.75187, 142.98641999999998, 142.98641999999998, 144.96400500000001, 144.96400500000001, 155.75187]","[6.542643, 11.299827, 11.299827, -1.14281, -1.14281, 6.542643]"
Jaguar,"[326.236695, 299.73832500000003, 299.73832500000003, 300.889365, 300.889365, 326.236695]","[-33.025781, -26.195767, -26.195767, -37.940699, -37.940699, -33.025781]"
Toad,"[199.730385, 187.466085, 187.466085, 182.53119, 182.53119, 199.730385]","[-23.171512, -16.515432, -16.515432, -22.619766, -22.619766, -23.171512]"
