name,ra,dec
The Great Chariot,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 178.45752000000002, 176.512725, 176.512725, 167.41593, 167.41593, 154.27428, 167.41593, 155.582325, 165.46015500000001, 148.02649499999998, 148.02649499999998, 143.215725, 143.215725, 135.906405, 143.215725, 134.80241999999998, 148.02649499999998, 147.748005, 147.748005, 127.56646500000001, 127.56646500000001, 142.881795, 142.881795, 165.93232500000002]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.064332, 54.064332, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.064332, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.751033]"
The She-Goat with Three She-Goat’s Kids,"[79.17225, 76.6287, 76.6287, 75.492225, 75.492225, 75.61951499999999, 75.61951499999999, 76.6287]","[45.997991, 41.234474, 41.234474, 43.823308, 43.823308, 41.075837, 41.075837, 41.234474]"
The Scythe,"[354.83729999999997, 319.64445, 319.64445, 325.876905, 325.876905, 332.71362, 332.71362, 337.292745, 322.16492999999997, 329.95637999999997]","[77.632276, 62.585573, 62.585573, 58.780046, 58.780046, 58.201261, 58.201261, 58.415198, 70.560716, 70.86604]"
The Shepherd with His Sheep,"[279.2346, 281.193135, 281.193135, 283.62618, 283.62618, 284.735925, 284.735925, 282.51997500000004, 282.51997500000004, 281.193135]","[38.783692, 37.605115, 37.605115, 36.898613, 36.898613, 32.689557, 32.689557, 33.362667, 33.362667, 37.605115]"
The Ring Dance,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705, 240.360705, 233.23243499999998]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061, 29.851061, 31.359133]"
The Wall with a Drain,"[30.97476, 17.43291, 17.43291, 9.83193, 9.83193, 2.096865, 2.096865, 345.943515, 345.943515, 346.19022, 2.096865, 3.30897]","[42.329725, 35.620558, 35.620558, 30.861024, 30.861024, 29.090432, 29.090432, 28.082789, 28.082789, 15.205264, 29.090432, 15.183596]"
God’s Chair,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 8.249955, 8.249955, 2.293305, 21.453239999999997, 17.775255, 14.177145, 10.126740000000002]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 62.931783, 62.931783, 59.14978, 60.235283, 55.149901, 60.71674, 56.537331]"
The Emperor’s Daughter with a Yoke,"[296.56491000000005, 297.69582, 297.69582, 298.828305]","[10.613261, 8.868322, 8.868322, 6.406763]"
The Hatching Hen with Her Chicks,"[57.290595, 56.87115, 56.87115, 56.456685, 56.456685, 56.218905, 56.218905, 56.58156, 56.58156, 57.290595]","[24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.113339, 24.113339, 23.948358, 23.948358, 24.053415]"
The Little Chariot,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 244.376865, 244.376865, 230.182245, 230.182245, 222.676575, 222.676575, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]"
The Brothers,"[116.329155, 110.030745, 110.030745, 106.027215, 106.027215, 99.42792, 99.42792, 95.740095, 95.740095, 100.98303, 100.98303, 113.64951, 113.64951, 116.329155]","[28.026199, 21.98232, 21.98232, 20.570297, 20.570297, 16.399252, 16.399252, 22.513586, 22.513586, 25.131124, 25.131124, 31.888276, 31.888276, 28.026199]"
The Great Cross,"[326.03565000000003, 318.234105, 318.234105, 311.55267000000003, 311.55267000000003, 305.557095, 305.557095, 296.24361, 296.24361, 292.42647, 310.35798, 305.557095, 305.557095, 299.07657, 299.07657, 292.680345]","[28.742632, 30.226916, 30.226916, 33.970256, 33.970256, 40.256679, 40.256679, 45.13081, 45.13081, 51.729779, 45.280338, 40.256679, 40.256679, 35.083424, 35.083424, 27.959681]"
The Little Cross,"[308.303205, 309.38724, 309.38724, 311.6646, 310.864725, 309.909525]","[11.303263, 14.595087, 14.595087, 16.124296, 15.074581, 15.912072]"
The He-Goat,"[326.760165, 325.66459499999996, 325.66459499999996, 324.27012, 324.27012, 321.66677999999996, 321.66677999999996, 312.95538, 312.95538, 311.5239, 311.5239, 305.25280499999997, 305.25280499999997, 316.48677000000004, 316.48677000000004, 320.56164, 320.56164, 325.022715, 325.022715, 326.760165]","[-16.127286, -18.866323, -18.866323, -19.466011, -19.466011, -22.411332, -22.411332, -26.919133, -26.919133, -25.270898, -25.270898, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542, -16.834542, -16.662308, -16.662308, -16.127286]"
The Crayfish,"[134.62176, 131.17125, 131.17125, 130.82146500000002, 130.82146500000002, 131.67426, 124.12884000000001, 131.17125]","[11.857701, 18.154309, 18.154309, 21.468501, 21.468501, 28.759898, 9.185545, 18.154309]"
The Horse,"[152.09298, 168.560025, 168.560025, 177.26494499999998, 177.26494499999998, 168.52706999999998, 168.52706999999998, 154.99309499999998, 154.99309499999998, 151.833135, 151.833135, 152.09298, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002]","[11.967207, 15.42957, 15.42957, 14.57206, 14.57206, 20.523717, 20.523717, 19.841489, 19.841489, 16.762664, 16.762664, 11.967207, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255]"
The Dragon,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
The Raven,"[187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 182.103375, 182.103375, 188.596815, 188.596815, 187.466085]","[-16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -24.728875, -23.396759, -23.396759, -16.515432]"
The Scales,"[226.017585, 233.881575, 233.881575, 229.251735, 229.251735, 222.719655, 222.719655, 226.017585]","[-25.281965, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965]"
