name,ra,dec
Sarva the Elk,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305, 21.453239999999997, 46.19913, 46.19913, 51.08067, 51.08067, 47.04222, 51.08067, 55.73124, 55.73124, 59.46345, 59.46345, 58.533, 55.73124, 79.17225, 79.17225, 81.57297, 79.17225, 76.6287, 76.6287, 74.24840999999999]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978, 60.235283, 53.50644, 53.50644, 49.86118, 49.86118, 40.955648, 49.86118, 47.787551, 47.787551, 40.010215, 40.010215, 31.883635, 47.787551, 45.997991, 45.997991, 28.60745, 45.997991, 41.234474, 41.234474, 33.16609]"
Favdna's Bow and Arrow,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.46015500000001, 165.93232500000002, 178.45752000000002]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 56.382427, 61.751033, 53.69476]"
Galla's Sons,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Sky Support,"[37.94625, 37.94625]","[89.264109, 89.264109]"
Favdna,"[213.91545, 213.91545]","[19.18241, 19.18241]"
The Runner,"[279.2346, 279.2346]","[38.783692, 38.783692]"
Morning Star,"[297.69582, 297.69582]","[8.868322, 8.868322]"
Pack of Dogs,"[56.87115, 56.87115]","[24.105137, 24.105137]"
Galla,"[114.825495, 114.825495]","[5.224993, 5.224993]"
The Ski Runners,"[113.64951, 113.64951, 116.329155, 116.329155]","[31.888276, 31.888276, 28.026199, 28.026199]"
