name,ra,dec
The Hut,"[67.154145, 66.37241999999999, 66.37241999999999, 65.73370499999999, 65.73370499999999, 64.948335, 64.948335, 67.14372, 67.14372, 68.98015500000001, 68.98015500000001, 67.154145]","[19.180431, 17.92791, 17.92791, 17.542514, 17.542514, 15.627642, 15.627642, 15.962181, 15.962181, 16.509301, 16.509301, 19.180431]"
The Bunch,"[57.29673, 57.290595, 57.290595, 56.87115, 56.87115, 56.456685, 56.456685, 56.30205, 56.30205, 56.218905, 56.218905, 56.58156, 56.58156, 56.87115]","[24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.367748, 24.367748, 24.467278, 24.467278, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137]"
The Seven Brothers,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 178.45752000000002, 178.45752000000002, 165.46015500000001, 165.46015500000001, 165.93232500000002, 165.93232500000002, 183.85629]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.751033, 61.751033, 57.032617]"
The Sticks,"[88.792935, 83.78449499999999, 83.78449499999999, 81.282765, 81.282765, 83.001675, 83.001675, 78.63447, 78.63447, 86.939115, 86.939115, 85.189695, 85.189695, 88.792935]","[7.407063, 9.934158, 9.934158, 6.349702, 6.349702, -0.299092, -0.299092, -8.20164, -8.20164, -9.669605, -9.669605, -1.942572, -1.942572, 7.407063]"
The Fence for Sheep,"[81.57297, 89.930265, 89.930265, 89.88223500000001, 89.88223500000001, 79.17225, 79.17225, 75.61951499999999, 75.61951499999999, 74.24840999999999, 74.24840999999999, 81.57297]","[28.60745, 37.212585, 37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.16609, 33.16609, 28.60745]"
The Dance of Widows,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
The Sickle,"[152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002]","[11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255]"
The Deer Horn,"[56.07972, 58.533, 58.533, 59.741249999999994, 59.741249999999994, 59.46345, 59.46345, 55.73124, 55.73124, 51.08067, 51.08067, 46.19913, 46.19913, 42.674175, 51.08067, 47.04222, 47.04222, 46.29405, 46.29405, 42.645945]","[32.288248, 31.883635, 31.883635, 35.791033, 35.791033, 40.010215, 40.010215, 47.787551, 47.787551, 49.86118, 49.86118, 53.50644, 53.50644, 55.895496, 49.86118, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644]"
The Cross of St. Constantine,"[310.35798, 305.557095, 305.557095, 299.07657, 299.07657, 292.680345, 311.55267000000003, 305.557095, 305.557095, 296.24361]","[45.280338, 40.256679, 40.256679, 35.083424, 35.083424, 27.959681, 33.970256, 40.256679, 40.256679, 45.13081]"
The Throne,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Three Marias,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
The Twins,"[116.329155, 113.64951]","[28.026199, 31.888276]"
