name,ra,dec
Southern Wild Duck,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
Two Men,"[113.64951, 116.329155]","[31.888276, 28.026199]"
Wild Duck,"[85.189695, 84.05338499999999, 84.05338499999999, 83.001675]","[-1.942572, -1.20192, -1.20192, -0.299092]"
Pigeon Perch,"[68.98015500000001, 67.14372, 67.14372, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.962181, 15.962181, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
Big Wild Duck,"[131.175885, 139.27257, 125.62853999999999, 140.52843000000001]","[-54.708821, -59.275229, -59.509483, -55.010668]"
Mound Top,"[219.911475, 210.955935]","[-60.833976, -60.373039]"
String of fishes,"[81.119235, 83.001675, 83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 85.189695, 84.68653499999999, 84.68653499999999, 83.89960500000001, 83.89960500000001, 83.84652, 83.84652, 83.88069, 83.88069, 83.85826499999999]","[-2.397146, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -2.600069, -2.600069, -3.25284, -3.25284, -4.838358, -4.838358, -5.267384, -5.267384, -5.909901]"
Wild Duck's Point of Land,"[84.05338499999999, 139.05035999999998, 139.05035999999998, 186.870285]","[-1.20192, -57.541473, -57.541473, -58.991756]"
Two Carriers,"[186.73449, 197.96856, 197.96856, 197.49703499999998]","[28.268423, 27.878183, 27.878183, 17.529431]"
Cloud of 'Uvea,"[240.360705, 239.39691000000002, 239.39691000000002, 237.39855, 237.39855, 235.68571500000002, 235.68571500000002, 233.67192, 233.67192, 231.95727, 231.95727, 233.23243499999998]","[29.851061, 26.87788, 26.87788, 26.068394, 26.068394, 26.295637, 26.295637, 26.714693, 26.714693, 29.105703, 29.105703, 31.359133]"
Wing of Tafahi,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
