name,ra,dec
Fer-de-lance (snake),"[241.35930000000002, 240.08335499999998, 240.08335499999998, 239.712975, 240.08335499999998, 245.297145, 245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 252.96763500000003, 252.96763500000003, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 264.13681499999996, 264.13681499999996, 262.69097999999997, 262.69097999999997, 263.402175, 263.402175, 267.464475, 267.464475, 266.89617000000004, 266.89617000000004, 274.406895, 274.406895, 276.04302, 276.04302, 275.24850000000004, 275.24850000000004, 274.51329, 274.51329, 276.992685, 276.992685, 281.4141, 281.4141, 283.81635, 283.81635, 286.73505, 286.73505, 285.65297999999996, 285.65297999999996, 281.08066499999995, 281.08066499999995, 278.34639, 278.34639, 278.08885499999997, 278.08885499999997, 278.375745, 278.375745, 279.89652, 279.89652, 282.39582, 282.39582, 284.07066000000003, 284.07066000000003, 285.77860499999997, 285.77860499999997, 287.08734, 287.08734, 287.50731, 287.50731, 287.368035, 287.368035, 286.60456500000004, 286.60456500000004, 284.680815, 284.680815, 284.16873, 284.16873, 280.94559, 280.94559, 281.23815, 281.23815, 281.93589]","[-19.805453, -22.62171, -22.62171, -26.114105, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738, -38.04738, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -38.635308, -38.635308, -37.295811, -37.295811, -37.103821, -37.103821, -37.043304, -37.043304, -40.126997, -40.126997, -36.761686, -36.761686, -34.384616, -34.384616, -29.828103, -29.828103, -27.042641, -27.042641, -25.4217, -25.4217, -26.990778, -26.990778, -26.296722, -26.296722, -27.670423, -27.670423, -29.880105, -29.880105, -35.641987, -35.641987, -38.725985, -38.725985, -39.704001, -39.704001, -42.31251, -42.31251, -43.185878, -43.185878, -43.434102, -43.434102, -42.710676, -42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.340796, -39.340796, -37.904474, -37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -37.343241, -37.343241, -38.323441, -38.323441, -39.686188, -39.686188, -40.406167]"
Armadillo,"[311.6646, 310.864725, 310.864725, 309.38724, 309.38724, 309.909525, 309.909525, 311.6646, 309.38724, 309.68327999999997, 309.38724, 308.82723, 308.82723, 308.48767499999997, 308.48767499999997, 308.303205, 308.303205, 309.454665, 308.303205, 309.782415, 298.828305, 297.69582, 297.69582, 296.56491000000005]","[16.124296, 15.074581, 15.074581, 14.595087, 14.595087, 15.912072, 15.912072, 16.124296, 14.595087, 13.315125, 14.595087, 14.674213, 14.674213, 13.027255, 13.027255, 11.303263, 11.303263, 11.377676, 11.303263, 10.086203, 6.406763, 8.868322, 8.868322, 10.613261]"
Caridean Shrimp,"[350.74263, 351.51162, 351.51162, 352.925175, 352.925175, 353.31927, 353.31927, 355.440855, 355.440855, 356.05032, 356.05032, 356.50383, 356.50383, 357.838905, 357.838905, 0.9349500000000001, 0.9349500000000001, 2.13957, 2.13957, 3.041595, 3.041595, 3.660075, 3.660075, 4.386254999999999, 4.386254999999999, 5.442794999999999, 355.440855, 355.61593500000004, 355.61593500000004, 355.680585, 355.680585, 354.94611000000003, 354.94611000000003, 353.70567, 354.94611000000003, 354.414825]","[-20.10058, -20.642014, -20.642014, -21.369457, -21.369457, -20.914504, -20.914504, -17.816533, -17.816533, -18.276938, -18.276938, -18.67834, -18.67834, -18.909163, -18.909163, -17.335988, -17.335988, -17.578155, -17.578155, -17.938278, -17.938278, -18.932866, -18.932866, -19.051092, -19.051092, -20.058024, -17.816533, -15.448033, -15.448033, -14.544905, -14.544905, -14.222178, -14.222178, -15.246005, -14.222178, -13.060243]"
A kind of fish,"[348.58066499999995, 349.21225499999997, 349.21225499999997, 348.972885, 348.972885, 349.47589500000004, 349.47589500000004, 349.740315, 349.47589500000004, 349.21225499999997]","[-6.049003, -7.726504, -7.726504, -9.087737, -9.087737, -9.182513, -9.182513, -9.61075, -9.182513, -7.726504]"
Puma or Jaguar,"[57.075315, 59.15205, 59.15205, 61.646024999999995, 61.646024999999995, 64.56084, 64.56084, 63.724425, 63.724425, 62.165355000000005, 62.165355000000005, 58.992360000000005, 58.992360000000005, 55.73124, 55.73124, 54.122385, 54.122385, 52.341840000000005, 52.341840000000005, 51.08067, 51.08067, 49.781805, 49.781805, 49.050855, 49.050855, 51.44949, 51.44949, 53.412825, 53.412825, 52.500855, 52.500855, 53.421825, 53.421825, 52.478100000000005, 52.478100000000005, 52.26723, 52.500855, 46.19913, 46.19913, 40.761765000000004, 40.761765000000004, 36.316785, 36.316785, 34.519125, 34.519125, 32.16909, 32.16909, 28.598760000000002, 28.598760000000002, 27.820515, 27.820515, 25.585320000000003, 25.585320000000003, 21.48312, 28.598760000000002, 21.453239999999997, 21.453239999999997, 14.16648, 14.16648, 14.177145, 14.177145, 15.904199999999998, 15.904199999999998, 16.08126, 16.08126, 14.331525000000001, 14.331525000000001, 13.267665000000001, 13.267665000000001, 14.177145, 14.177145, 9.113925, 9.113925, 2.293305, 2.293305, 1.56534, 2.293305, 358.59596999999997, 2.293305, 356.76426, 2.293305, 0.128895, 2.293305, 10.126740000000002, 10.126740000000002, 8.293185, 8.293185, 7.943085, 7.943085, 9.24282, 9.24282, 11.32161, 11.32161, 10.126740000000002, 10.126740000000002, 12.2739, 12.2739, 14.16648, 12.2739, 16.789379999999998, 16.789379999999998, 20.466434999999997, 20.466434999999997, 24.498075, 24.498075, 34.795125, 34.795125, 42.92391000000001, 42.92391000000001, 44.957460000000005, 44.957460000000005, 46.947255, 46.947255, 52.643685, 52.643685, 55.73124]","[50.736767, 50.695381, 50.695381, 50.351262, 50.351262, 50.295502, 50.295502, 48.409331, 48.409331, 47.712513, 47.712513, 47.87142, 47.87142, 47.787551, 47.787551, 48.192634, 48.192634, 49.508948, 49.508948, 49.86118, 49.86118, 50.094966, 50.094966, 50.937664, 50.937664, 53.921522, 53.921522, 54.974857, 54.974857, 55.451808, 55.451808, 57.868725, 57.868725, 58.87875, 58.87875, 59.94033, 55.451808, 53.50644, 53.50644, 55.106019, 55.106019, 56.609823, 56.609823, 57.516321, 57.516321, 58.423601, 58.423601, 63.670101, 63.670101, 64.854952, 64.854952, 68.043021, 68.043021, 68.130012, 63.670101, 60.235283, 60.235283, 59.181056, 59.181056, 60.71674, 60.71674, 61.074823, 61.074823, 61.580184, 61.580184, 61.421895, 61.421895, 61.12397, 61.12397, 60.71674, 60.71674, 60.326215, 60.326215, 59.14978, 59.14978, 58.436733, 59.14978, 57.499382, 59.14978, 58.651989, 59.14978, 59.559679, 59.14978, 56.537331, 56.537331, 54.894985, 54.894985, 54.522289, 54.522289, 53.896909, 53.896909, 55.221396, 55.221396, 56.537331, 56.537331, 57.815187, 57.815187, 59.181056, 57.815187, 53.498185, 53.498185, 50.121984, 50.121984, 48.628213, 48.628213, 46.472261, 46.472261, 46.841939, 46.841939, 47.220693, 47.220693, 47.308709, 47.308709, 47.995216, 47.995216, 47.787551]"
Group of Stars,"[57.290595, 56.87115, 56.87115, 56.58156, 56.58156, 56.218905, 56.218905, 56.200889999999994, 56.200889999999994, 56.30205, 56.30205, 56.47698, 56.47698, 56.456685, 56.456685, 56.87115]","[24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.28947, 24.28947, 24.467278, 24.467278, 24.554511, 24.554511, 24.367748, 24.367748, 24.105137]"
A kind of grill to cook fish,"[68.98015500000001, 67.14372, 67.14372, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[16.509301, 15.962181, 15.962181, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
Adze Handle,"[83.001675, 84.05338499999999, 84.05338499999999, 85.189695, 85.189695, 85.619295, 85.619295, 88.792935, 88.792935, 81.282765, 81.282765, 84.79643999999999, 84.79643999999999, 85.619295]","[-0.299092, -1.20192, -1.20192, -1.942572, -1.942572, 1.474629, 1.474629, 7.407063, 7.407063, 6.349702, 6.349702, 4.121467, 4.121467, 1.474629]"
Egret,"[188.78233500000002, 191.661495, 191.661495, 189.780465, 189.780465, 193.323945, 193.323945, 196.588515, 189.780465, 187.43016, 187.43016, 185.17929, 187.43016, 188.78403, 188.78403, 189.780465, 189.780465, 189.75909, 189.75909, 193.323945, 189.75909, 188.39259, 188.39259, 187.75234500000002, 187.75234500000002, 187.362675, 187.362675, 188.78403, 187.362675, 185.626305, 185.626305, 185.08200000000002, 185.626305, 186.07719, 185.626305, 184.758435, 187.75234500000002, 187.227945, 187.227945, 186.747075, 186.747075, 186.60027, 186.60027, 186.73449]","[18.377058, 16.577691, 16.577691, 21.062559, 21.062559, 21.244943, 21.244943, 21.153397, 21.062559, 20.896109, 20.896109, 17.792868, 20.896109, 21.881384, 21.881384, 21.062559, 21.062559, 22.659497, 22.659497, 21.244943, 22.659497, 24.282984, 24.282984, 24.567168, 24.567168, 24.108925, 24.108925, 21.881384, 24.108925, 25.84616, 25.84616, 26.619482, 25.84616, 26.098606, 25.84616, 26.008349, 24.567168, 25.912852, 25.912852, 26.825699, 26.825699, 27.268237, 27.268237, 28.268423]"
Tortoise,"[186.649665, 191.930385, 191.930385, 187.791435, 187.791435, 183.786405, 183.786405, 186.649665]","[-63.099092, -59.688764, -59.688764, -57.113212, -57.113212, -58.748928, -58.748928, -63.099092]"
Snake Large Anus,"[165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 183.85629, 193.50708, 193.50708, 200.981205, 200.981205, 206.88531]","[61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 57.032617, 55.959821, 55.959821, 54.925362, 54.925362, 49.313265]"
