name,ra,dec
Aquila,"[298.828305, 297.69582, 297.69582, 296.56491000000005, 297.69582, 291.37458, 291.37458, 298.118205, 302.826195, 298.118205, 291.37458, 286.352535, 286.352535, 284.905665, 291.37458, 286.56225]","[6.406763, 8.868322, 8.868322, 10.613261, 8.868322, 3.114775, 3.114775, 1.005661, -0.821461, 1.005661, 3.114775, 13.863478, 13.863478, 15.068298, 3.114775, -4.882554]"
Andromeda,"[2.096865, 9.83193, 9.83193, 17.43291, 30.97476, 17.43291, 17.43291, 14.188274999999999, 14.188274999999999, 12.45351]","[29.090432, 30.861024, 30.861024, 35.620558, 42.329725, 35.620558, 35.620558, 38.499345, 38.499345, 41.078911]"
Sculptor,"[353.24268, 14.65149, 14.65149, 349.705995, 349.705995, 353.24268]","[-37.818268, -29.357449, -29.357449, -32.532027, -32.532027, -37.818268]"
Ara,"[271.6578, 262.96042500000004, 262.96042500000004, 254.65509, 254.65509, 252.4464, 252.4464, 262.77477, 262.77477, 261.34858499999996, 261.34858499999996, 261.324975, 261.324975, 271.6578]","[-50.091477, -49.876145, -49.876145, -55.990141, -55.990141, -59.041378, -59.041378, -60.683848, -60.683848, -56.377727, -56.377727, -55.529884, -55.529884, -50.091477]"
Libra,"[238.456395, 233.881575, 233.881575, 229.251735, 229.251735, 222.719655, 222.719655, 226.017585, 226.017585, 233.881575]","[-16.729293, -14.789537, -14.789537, -9.382917, -9.382917, -16.041778, -16.041778, -25.281965, -25.281965, -14.789537]"
Cetus,"[33.249975, 37.039755, 26.017185, 10.89735, 10.89735, 4.856985, 10.89735, 17.147460000000002, 17.147460000000002, 21.00585, 21.00585, 27.86514, 27.86514, 36.487514999999995, 36.487514999999995, 39.890969999999996, 39.890969999999996, 41.030625, 41.030625, 38.02179, 38.02179, 26.017185, 34.83663, 39.890969999999996, 34.83663, 39.87066, 39.87066, 40.82517, 40.82517, 45.56988, 45.56988, 44.92875, 44.92875, 41.235585, 41.235585, 37.039755, 37.039755, 38.968635, 38.968635, 40.82517]","[8.846717, 8.460054, -15.93748, -17.986605, -17.986605, -8.823921, -17.986605, -10.182264, -10.182264, -8.183257, -8.183257, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858696, -13.858696, -15.244677, -15.244677, -15.93748, -2.977643, -11.872156, -2.977643, 0.328511, 0.328511, 3.235818, 3.235818, 4.089734, 4.089734, 8.907365, 8.907365, 10.114146, 10.114146, 8.460054, 8.460054, 5.593246, 5.593246, 3.235818]"
Aries,"[42.495945, 31.793325000000003, 31.793325000000003, 28.66002, 28.66002, 28.38255]","[27.260507, 23.462423, 23.462423, 20.808035, 20.808035, 19.293852]"
Scutum,"[281.79363, 281.87062499999996, 281.87062499999996, 283.67964, 283.67964, 277.29939, 277.29939, 278.80177499999996, 278.80177499999996, 281.79363]","[-4.747867, -5.705147, -5.705147, -15.603036, -15.603036, -14.565813, -14.565813, -8.244073, -8.244073, -4.747867]"
Pyxis,"[130.025595, 130.898085, 130.898085, 132.63306]","[-35.308352, -33.186385, -33.186385, -27.709844]"
Bootes,"[220.2873, 213.91545, 213.91545, 221.24676, 221.24676, 228.87564, 228.87564, 225.48654000000002, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 213.91545, 213.91545, 208.671165, 208.671165, 207.369345]","[13.7283, 19.18241, 19.18241, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 18.397717, 15.797905]"
Caelum,"[67.70874, 70.140585, 70.140585, 70.514475]","[-44.953749, -41.863752, -41.863752, -37.144297]"
Chamaeleon,"[124.630545, 158.86749, 158.86749, 184.58718]","[-76.919722, -78.607786, -78.607786, -79.31224]"
Cancer,"[131.67426, 130.82146500000002, 130.82146500000002, 125.01608999999999, 130.82146500000002, 131.17125, 131.17125, 124.12884000000001, 131.17125, 134.62176]","[28.759898, 21.468501, 21.468501, 27.217707, 21.468501, 18.154309, 18.154309, 9.185545, 18.154309, 11.857701]"
Capricornus,"[304.51356, 305.25280499999997, 305.25280499999997, 316.48677000000004, 316.48677000000004, 320.56164, 320.56164, 325.022715, 325.022715, 326.760165, 320.56164, 321.66677999999996, 321.66677999999996, 316.48677000000004, 305.25280499999997, 311.5239, 316.48677000000004, 312.95538]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542, -16.834542, -16.662308, -16.662308, -16.127286, -16.834542, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898, -17.232861, -26.919133]"
Carina,"[138.300615, 153.434415, 153.434415, 160.739235, 160.739235, 160.884585, 160.884585, 167.147475, 167.147475, 163.373385, 163.373385, 156.969735, 156.969735, 154.2708, 154.2708, 139.27257, 130.154295, 125.62853999999999, 125.62853999999999, 95.98792499999999, 137.74206, 139.27257, 137.74206, 130.154295, 95.98792499999999, 99.440295, 125.62853999999999, 120.896055]","[-69.717208, -70.037903, -70.037903, -64.39445, -64.39445, -60.566619, -60.566619, -58.975037, -58.975037, -58.853171, -58.853171, -58.739403, -58.739403, -61.332304, -61.332304, -59.275229, -59.761003, -59.509483, -59.509483, -52.69566, -58.966896, -59.275229, -58.966896, -59.761003, -52.69566, -43.195934, -59.509483, -40.003148]"
Cassiopeia,"[28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Centaurus,"[219.911475, 210.955935, 210.955935, 204.97194000000002, 204.97194000000002, 208.885005, 208.885005, 209.669805, 209.669805, 207.404145, 207.404145, 207.37617, 207.37617, 202.761075, 202.761075, 200.14944, 207.37617, 211.670925, 207.404145, 218.87679, 218.87679, 224.79037499999998, 208.885005, 190.379565, 190.379565, 187.009965, 187.009965, 182.08965, 182.08965, 173.690325, 173.690325, 173.945445]","[-60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -44.803584, -44.803584, -42.473732, -42.473732, -41.687709, -41.687709, -39.407307, -39.407307, -36.712295, -41.687709, -36.369954, -42.473732, -42.157824, -42.157824, -42.104194, -47.288375, -48.959888, -48.959888, -50.230635, -50.230635, -50.722425, -50.722425, -54.264091, -54.264091, -63.019841]"
Cepheus,"[332.71362, 342.4203, 342.4203, 322.16492999999997, 322.16492999999997, 319.64445, 319.64445, 332.71362, 342.4203, 354.83729999999997, 354.83729999999997, 322.16492999999997]","[58.201261, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 58.201261, 66.200408, 77.632276, 77.632276, 70.560716]"
Coma Berenices,"[197.49703499999998, 197.96856, 197.96856, 186.73449]","[17.529431, 27.878183, 27.878183, 28.268423]"
Canes Venatici,"[188.43616500000002, 194.007105]","[41.35748, 38.31838]"
Auriga,"[89.930265, 89.88223500000001, 89.88223500000001, 79.17225, 79.17225, 75.61951499999999, 75.61951499999999, 74.24840999999999, 81.57297, 74.24840999999999, 81.57297, 89.930265]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.16609, 28.60745, 33.16609, 28.60745, 37.212585]"
Columba,"[95.52846, 94.13806500000001, 94.13806500000001, 89.38420500000001, 89.38420500000001, 87.739935, 87.739935, 89.78667, 87.739935, 84.912255, 84.912255, 82.80313500000001]","[-33.4364, -35.140519, -35.140519, -35.28328, -35.28328, -35.768309, -35.768309, -42.815135, -35.768309, -34.074108, -34.074108, -35.470519]"
Circinus,"[220.62738, 230.844375, 220.62738, 229.37875499999998]","[-64.975138, -59.320787, -64.975138, -58.801208]"
Crater,"[164.94366000000002, 167.91453, 167.91453, 171.22053, 171.22053, 169.835205, 169.835205, 164.94366000000002, 169.835205, 171.15246, 171.15246, 174.17047499999998, 174.17047499999998, 179.003985, 179.003985, 176.190735, 176.190735, 171.22053]","[-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -14.778541, -14.778541, -18.298783, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401]"
Corona Australis,"[280.94559, 284.16873, 284.16873, 284.680815, 284.680815, 286.60456500000004, 286.60456500000004, 287.368035, 287.368035, 287.50731, 287.50731, 287.08734, 287.08734, 285.77860499999997, 285.77860499999997, 284.07066000000003, 280.94559, 278.08885499999997]","[-38.323441, -37.343241, -37.343241, -37.107357, -37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.340796, -39.340796, -40.496703, -40.496703, -42.095105, -42.095105, -42.710676, -38.323441, -39.704001]"
Corona Borealis,"[233.23243499999998, 231.95727, 231.95727, 233.67192, 233.67192, 235.68571500000002, 235.68571500000002, 237.39855, 237.39855, 239.39691000000002, 239.39691000000002, 240.360705]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]"
Corvus,"[188.01764999999997, 187.466085, 187.466085, 183.95155499999998, 183.95155499999998, 182.53119, 182.53119, 182.103375, 182.53119, 188.596815, 188.596815, 187.466085]","[-16.196007, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -23.396759, -23.396759, -16.515432]"
Crux,"[187.791435, 186.649665, 191.930385, 183.786405]","[-57.113212, -63.099092, -59.688764, -58.748928]"
Cygnus,"[289.2756, 292.42647, 292.42647, 296.24361, 296.24361, 305.557095, 305.557095, 310.35798, 305.557095, 311.55267000000003, 311.55267000000003, 318.234105, 318.234105, 326.03565000000003, 305.557095, 299.07657, 299.07657, 292.680345]","[53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681]"
Delphinus,"[308.303205, 309.38724, 309.38724, 309.909525, 309.909525, 311.6646, 311.6646, 310.864725, 310.864725, 309.38724]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124296, 16.124296, 15.074581, 15.074581, 14.595087]"
Dorado,"[86.193345, 88.52487, 88.52487, 83.40631499999999, 83.40631499999999, 86.193345, 83.40631499999999, 68.49897, 68.49897, 64.00645499999999]","[-65.735526, -63.089627, -63.089627, -62.489825, -62.489825, -65.735526, -62.489825, -55.044975, -55.044975, -51.486648]"
Draco,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 297.04275, 288.888435, 288.888435, 275.26104000000004, 275.26104000000004, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
Norma,"[243.36971999999997, 244.960305, 244.960305, 246.796005, 246.796005, 240.80368499999997, 240.80368499999997, 244.960305, 240.80368499999997, 243.36971999999997]","[-54.630467, -50.155508, -50.155508, -47.554786, -47.554786, -49.229695, -49.229695, -50.155508, -49.229695, -54.630467]"
Eridanus,"[24.42834, 28.98846, 28.98846, 34.12731, 34.12731, 36.746325, 36.746325, 39.94989, 39.94989, 40.166714999999996, 40.166714999999996, 44.565345, 44.565345, 49.97916, 49.97916, 57.149445, 57.149445, 57.363555000000005, 57.363555000000005, 64.473555, 64.473555, 66.009195, 66.009195, 68.88768, 68.88768, 56.712059999999994, 56.712059999999994, 53.446979999999996, 53.446979999999996, 49.87917, 49.87917, 45.597945, 45.597945, 41.275725, 41.275725, 44.10687, 44.10687, 48.958439999999996, 48.958439999999996, 53.23272, 53.23272, 55.81209, 55.81209, 69.079755, 69.079755, 71.375625, 71.375625, 73.223625, 73.223625, 76.962435, 76.962435, 77.2866, 77.2866, 69.54509999999999]","[-57.236757, -51.608896, -51.608896, -51.512165, -51.512165, -47.70384, -47.70384, -42.89167, -42.89167, -39.855375, -39.855375, -40.304672, -40.304672, -43.069784, -43.069784, -37.620155, -37.620155, -36.20025, -36.20025, -33.798348, -33.798348, -34.016846, -34.016846, -30.562341, -30.562341, -23.249723, -23.249723, -21.632883, -21.632883, -21.757864, -21.757864, -23.624472, -23.624472, -18.572563, -18.572563, -8.898144, -8.898144, -8.81973, -8.81973, -9.458262, -9.458262, -9.763395, -9.763395, -3.352459, -3.352459, -3.254657, -3.254657, -5.452695, -5.452695, -5.086446, -5.086446, -8.754081, -8.754081, -14.30402]"
Sagitta,"[295.26225, 296.846925, 296.846925, 295.024125, 296.846925, 299.689275, 299.689275, 301.28955]","[17.476041, 18.534286, 18.534286, 18.01389, 18.534286, 19.492148, 19.492148, 19.991071]"
Fornax,"[42.272535000000005, 48.018735]","[-32.405898, -28.987618]"
Gemini,"[99.42792, 106.027215, 106.027215, 110.030745, 110.030745, 109.52324999999999, 109.52324999999999, 101.32236, 110.030745, 113.98062, 113.98062, 116.111895, 113.98062, 116.329155, 113.98062, 111.43168499999999, 111.43168499999999, 107.784885, 107.784885, 113.64951, 107.784885, 103.19724, 107.784885, 100.98303, 100.98303, 97.240785, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]"
Camelopardalis,"[52.26723, 59.356004999999996, 59.356004999999996, 73.51254, 52.26723, 57.589529999999996, 57.589529999999996, 73.51254, 57.589529999999996, 80.64054]","[59.94033, 63.072264, 63.072264, 66.342678, 59.94033, 71.332266, 71.332266, 66.342678, 71.332266, 79.231149]"
Canis Major,"[103.547505, 105.939555, 105.939555, 104.03426999999999, 104.03426999999999, 101.287215, 101.287215, 105.756135, 105.756135, 107.097855, 107.097855, 108.702735, 108.702735, 111.02376, 104.656455, 105.42978000000001, 105.42978000000001, 107.097855, 105.42978000000001, 103.554345, 103.554345, 99.17098499999999, 99.17098499999999, 98.76411, 99.17098499999999, 95.674935, 99.17098499999999, 101.287215, 104.656455, 102.460245, 95.078295, 104.656455, 104.03426999999999, 103.547505]","[-12.038628, -15.633286, -15.633286, -17.054242, -17.054242, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -27.93483, -23.928336, -23.928336, -19.255879, -19.255879, -22.964793, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478, -30.063367, -28.972084, -17.054242, -12.038628]"
Ursa Major,"[206.88531, 200.981205, 200.981205, 193.50708, 193.50708, 183.85629, 183.85629, 165.93232500000002, 165.93232500000002, 165.46015500000001, 165.46015500000001, 178.45752000000002, 178.45752000000002, 183.85629, 178.45752000000002, 176.512725, 176.512725, 167.41593, 167.41593, 154.27428, 167.41593, 155.582325, 165.46015500000001, 148.02649499999998, 148.02649499999998, 143.215725, 143.215725, 135.906405, 143.215725, 134.80241999999998, 148.02649499999998, 147.748005, 147.748005, 127.56646500000001, 127.56646500000001, 142.881795, 142.881795, 165.93232500000002]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.751033, 61.751033, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.064332, 54.064332, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.064332, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.751033]"
Grus,"[346.71975000000003, 337.317375, 337.317375, 332.058135, 332.058135, 340.666725, 340.666725, 347.5896, 347.5896, 346.71975000000003, 340.666725, 345.220155, 340.666725, 342.13858500000003, 332.058135, 331.52871, 331.52871, 328.48212]","[-43.520358, -43.495565, -43.495565, -46.960975, -46.960975, -46.884577, -46.884577, -45.246711, -45.246711, -43.520358, -46.884577, -52.754137, -46.884577, -51.316864, -46.960975, -39.543353, -39.543353, -37.364852]"
Hercules,"[264.86620500000004, 269.06325000000004, 269.06325000000004, 260.92062000000004, 260.92062000000004, 259.417755, 259.417755, 258.76182, 258.76182, 250.72399499999997, 250.72399499999997, 248.52575999999996, 248.52575999999996, 244.935165, 244.935165, 238.168545, 250.72399499999997, 250.32169500000003, 250.32169500000003, 247.55502, 247.55502, 245.48007, 250.32169500000003, 255.07240499999997, 255.07240499999997, 262.68462, 262.68462, 258.75796499999996, 266.614785, 269.44116, 269.44116, 271.88562, 255.07240499999997, 258.76182, 266.614785, 262.68462]","[46.006332, 37.250539, 37.250539, 37.145946, 37.145946, 37.291498, 37.291498, 36.809162, 36.809162, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 42.451518, 38.922254, 31.602726, 31.602726, 21.489613, 21.489613, 19.15313, 31.602726, 30.926405, 30.926405, 26.110645, 26.110645, 24.839204, 27.720676, 29.24788, 29.24788, 28.762488, 30.926405, 36.809162, 27.720676, 26.110645]"
Horologium,"[63.500445, 40.164989999999996, 40.164989999999996, 45.903585]","[-42.294368, -54.549911, -54.549911, -59.737775]"
Hydra,"[130.80615, 129.689325, 129.689325, 129.41403, 129.41403, 131.693805, 131.693805, 132.10821, 132.10821, 130.80615, 132.10821, 133.84845, 133.84845, 138.591075, 138.591075, 142.99553999999998, 142.99553999999998, 142.287075, 142.287075, 141.89685, 141.89685, 147.86955, 147.86955, 152.647005, 152.647005, 156.52263, 156.52263, 162.406185, 162.406185, 173.25057, 173.25057, 178.227195, 178.227195, 197.263635, 197.263635, 199.730385]","[3.398662, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.837812, 5.837812, 3.398662, 5.837812, 5.945563, 5.945563, 2.31428, 2.31428, -1.184664, -1.184664, -2.768964, -2.768964, -8.658603, -8.658603, -14.846603, -14.846603, -12.354083, -12.354083, -16.83629, -16.83629, -16.193648, -16.193648, -31.857625, -31.857625, -33.908124, -33.908124, -23.11807, -23.11807, -23.171512]"
Hydrus,"[6.418740000000001, 56.809425, 56.809425, 39.896985, 39.896985, 35.43747, 35.43747, 29.691765]","[-77.254247, -74.238962, -74.238962, -68.266946, -68.266946, -68.659418, -68.659418, -61.569859]"
Indus,"[319.96644, 309.39173999999997, 309.39173999999997, 313.70247, 313.70247, 319.96644]","[-53.449427, -47.291502, -47.291502, -58.454155, -58.454155, -53.449427]"
Lacerta,"[333.9924, 337.62192, 337.62192, 337.38259500000004, 337.38259500000004, 336.12913499999996, 336.12913499999996, 335.890125, 335.890125, 337.822725, 337.822725, 337.38259500000004]","[37.748737, 43.123376, 43.123376, 47.706887, 47.706887, 49.476392, 49.476392, 52.229046, 52.229046, 50.282491, 50.282491, 47.706887]"
Monoceros,"[93.71388, 97.204455, 97.204455, 107.966085, 107.966085, 95.942025, 95.942025, 92.24127, 107.966085, 122.14854, 122.14854, 115.31181]","[-6.274776, -7.033062, -7.033062, -0.492764, -0.492764, 4.592865, 4.592865, 2.499692, -0.492764, -2.983786, -2.983786, -9.551131]"
Lepus,"[91.53885, 89.10123, 89.10123, 86.738925, 86.738925, 83.18256000000001, 83.18256000000001, 78.23292, 83.18256000000001, 87.830355, 87.830355, 86.115855, 86.115855, 82.06134, 82.06134, 76.36527, 83.18256000000001, 82.06134, 78.23292, 79.893855, 78.23292, 78.30783, 76.36527, 78.23292, 78.30783, 78.074595, 79.893855, 79.99593]","[-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -16.205468, -17.822289, -20.879089, -20.879089, -22.448382, -22.448382, -20.759441, -20.759441, -22.371032, -17.822289, -20.759441, -16.205468, -13.176788, -16.205468, -12.941291, -22.371032, -16.205468, -12.941291, -11.869219, -13.176788, -12.315585]"
Leo,"[177.26494499999998, 168.560025, 168.560025, 152.09298, 152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 168.52706999999998, 168.52706999999998, 177.26494499999998, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002, 168.52706999999998, 168.560025]","[14.57206, 15.42957, 15.42957, 11.967207, 11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 20.523717, 20.523717, 14.57206, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255, 20.523717, 15.42957]"
Lupus,"[237.73974, 241.81752, 241.81752, 240.03054, 240.03054, 237.73974, 240.03054, 233.785215, 233.785215, 230.343015, 230.343015, 230.4516, 230.343015, 224.63305499999998, 233.785215, 234.51348000000002, 234.51348000000002, 228.0714, 228.0714, 220.482345, 228.0714, 219.47181, 220.482345, 216.54504, 220.482345, 224.63305499999998]","[-33.627165, -36.755676, -36.755676, -38.396706, -38.396706, -33.627165, -38.396706, -41.166757, -41.166757, -40.647518, -40.647518, -36.261376, -40.647518, -43.13396, -41.166757, -42.567348, -42.567348, -52.099247, -52.099247, -47.3882, -52.099247, -49.425828, -47.3882, -45.379276, -47.3882, -43.13396]"
Lynx,"[140.263875, 139.711035, 139.711035, 136.632375, 136.632375, 135.160275, 135.160275, 125.70881999999999, 125.70881999999999, 111.67855499999999, 111.67855499999999, 104.31918, 104.31918, 94.90578000000001]","[34.392562, 36.802597, 36.802597, 38.452215, 38.452215, 41.782911, 41.782911, 43.188131, 43.188131, 49.211527, 49.211527, 58.422759, 58.422759, 59.010964]"
Lyra,"[279.2346, 281.193135, 281.193135, 282.51997500000004, 282.51997500000004, 284.735925, 284.735925, 283.62618, 283.62618, 281.193135]","[38.783692, 37.605115, 37.605115, 33.362667, 33.362667, 32.689557, 32.689557, 36.898613, 36.898613, 37.605115]"
Antlia,"[156.78795, 149.71786500000002]","[-31.067779, -35.890973]"
Microscopium,"[319.48449, 315.322755, 315.322755, 312.49199999999996]","[-32.172539, -32.257767, -32.257767, -33.779722]"
