name,ra,dec
Andromeda,"[2.096865, 9.83193, 9.83193, 17.43291, 17.43291, 30.97476, 345.480255, 354.53415, 354.53415, 355.102035, 355.102035, 354.39083999999997, 354.39083999999997, 355.102035, 355.102035, 354.53415, 354.53415, 4.581945, 4.581945, 9.2202, 9.2202, 9.83193, 9.83193, 9.2202, 9.2202, 17.43291, 17.43291, 14.188274999999999, 14.188274999999999, 12.45351, 12.45351, 17.37552, 17.37552, 24.498075, 9.83193, 9.63903, 9.63903, 11.834715000000001, 11.834715000000001, 14.301675]","[29.090432, 30.861024, 30.861024, 35.620558, 35.620558, 42.329725, 42.325979, 43.268073, 43.268073, 44.333932, 44.333932, 46.458152, 46.458152, 44.333932, 44.333932, 43.268073, 43.268073, 36.785224, 36.785224, 33.719344, 33.719344, 30.861024, 30.861024, 33.719344, 33.719344, 35.620558, 35.620558, 38.499345, 38.499345, 41.078911, 41.078911, 47.241792, 47.241792, 48.628213, 30.861024, 29.311751, 29.311751, 24.267178, 24.267178, 23.417648]"
Antlia,"[164.179335, 156.78795, 156.78795, 142.311345]","[-37.137765, -31.067779, -31.067779, -35.951335]"
Apus,"[221.965515, 248.36413499999998, 245.086785, 250.77189, 250.77189, 248.36413499999998]","[-79.044751, -78.897148, -78.695745, -77.517435, -77.517435, -78.897148]"
Aquila,"[298.828305, 297.69582, 297.69582, 296.56491000000005, 296.56491000000005, 291.37458, 291.37458, 286.56225, 286.56225, 291.37458, 291.37458, 286.352535, 286.352535, 291.37458, 291.37458, 298.118205, 298.118205, 302.826195, 284.905665, 286.352535, 286.56225, 285.42012, 302.826195, 294.18032999999997, 294.18032999999997, 286.56225, 286.56225, 286.352535]","[6.406763, 8.868322, 8.868322, 10.613261, 10.613261, 3.114775, 3.114775, -4.882554, -4.882554, 3.114775, 3.114775, 13.863478, 13.863478, 3.114775, 3.114775, 1.005661, 1.005661, -0.821461, 15.068298, 13.863478, -4.882554, -5.739115, -0.821461, -1.286601, -1.286601, -4.882554, -4.882554, 13.863478]"
Aquarius,"[311.91897, 322.88973, 322.88973, 331.445985, 331.445985, 335.41407000000004, 335.41407000000004, 337.207965, 337.207965, 338.83908, 338.83908, 337.207965, 337.207965, 336.31926, 336.31926, 331.445985, 331.60929, 322.88973, 322.88973, 331.445985, 331.445985, 334.20847499999996, 334.20847499999996, 343.15364999999997, 343.15364999999997, 348.58066499999995, 348.58066499999995, 349.47589500000004, 349.47589500000004, 350.74263, 350.74263, 349.47589500000004, 349.47589500000004, 347.361645, 347.361645, 349.47589500000004, 349.47589500000004, 343.662555, 343.662555, 342.39792, 342.39792, 343.15364999999997]","[-9.495776, -5.571172, -5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.019972, -0.019972, -0.117498, -0.117498, -0.019972, -0.019972, 1.377401, 1.377401, -0.319851, -13.869679, -5.571172, -5.571172, -0.319851, -0.319851, -7.78329, -7.78329, -7.579599, -7.579599, -6.049003, -6.049003, -9.182513, -9.182513, -20.10058, -20.10058, -9.182513, -9.182513, -21.17241, -21.17241, -9.182513, -9.182513, -15.82082, -15.82082, -13.592632, -13.592632, -7.579599]"
Ara,"[261.34858499999996, 262.77477, 262.77477, 252.4464, 252.4464, 254.65509, 254.65509, 254.89603499999998, 254.89603499999998, 262.96042500000004, 262.96042500000004, 271.6578, 271.6578, 262.96042500000004, 262.96042500000004, 261.324975]","[-56.377727, -60.683848, -60.683848, -59.041378, -59.041378, -55.990141, -55.990141, -53.160438, -53.160438, -49.876145, -49.876145, -50.091477, -50.091477, -49.876145, -49.876145, -55.529884]"
Aries,"[28.38255, 28.66002, 28.66002, 31.793325000000003, 31.793325000000003, 42.495945]","[19.293852, 20.808035, 20.808035, 23.462423, 23.462423, 27.260507]"
Auriga,"[81.57297, 74.24840999999999, 74.24840999999999, 76.6287, 76.6287, 79.17225, 79.17225, 89.88223500000001, 89.88223500000001, 89.930265, 89.930265, 81.57297, 76.6287, 75.61951499999999, 75.61951499999999, 75.492225, 75.492225, 79.17225, 79.17225, 89.88166500000001, 89.88166500000001, 89.88223500000001]","[28.60745, 33.16609, 33.16609, 41.234474, 41.234474, 45.997991, 45.997991, 44.947433, 44.947433, 37.212585, 37.212585, 28.60745, 41.234474, 41.075837, 41.075837, 43.823308, 43.823308, 45.997991, 45.997991, 54.284656, 54.284656, 44.947433]"
Bootes,"[213.91545, 221.24676, 221.24676, 228.87564, 228.87564, 225.48654000000002, 225.48654000000002, 218.01954, 218.01954, 217.9575, 217.9575, 213.91545, 213.91545, 208.671165, 208.671165, 206.81565, 213.91545, 220.2873, 218.01954, 214.09610999999998, 214.09610999999998, 216.299505, 216.299505, 213.37077, 213.37077, 214.09610999999998]","[19.18241, 27.074222, 27.074222, 33.314833, 33.314833, 40.390566, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 19.18241, 19.18241, 18.397717, 18.397717, 17.456906, 19.18241, 13.7283, 38.308253, 46.088305, 46.088305, 51.850744, 51.850744, 51.789965, 51.789965, 46.088305]"
Canis Major,"[95.674935, 101.287215, 101.287215, 107.097855, 107.097855, 104.656455, 104.656455, 107.097855, 107.097855, 111.02376, 95.674935, 99.17098499999999, 99.17098499999999, 103.533135, 103.533135, 104.656455, 101.287215, 104.03426999999999, 104.03426999999999, 105.939555, 105.939555, 103.547505, 103.547505, 104.03426999999999]","[-17.955918, -16.716116, -16.716116, -26.3932, -26.3932, -28.972084, -28.972084, -26.3932, -26.3932, -29.303104, -17.955918, -19.255879, -19.255879, -24.184211, -24.184211, -28.972084, -16.716116, -17.054242, -17.054242, -15.633286, -15.633286, -12.038628, -12.038628, -17.054242]"
