name,ra,dec
Pisces,"[354.98766, 355.511685, 355.511685, 351.73314, 351.73314, 349.29141, 349.29141, 350.08576500000004, 350.08576500000004, 351.99207, 351.99207, 354.98766, 354.98766, 359.827875, 359.827875, 12.170595, 12.170595, 15.73587, 15.73587, 22.546305, 22.546305, 25.35789, 25.35789, 28.388955000000003, 28.388955000000003, 30.511755, 30.511755, 26.34846, 26.34846, 22.870875, 22.870875, 17.86341, 17.86341, 18.43728, 18.43728, 19.866645000000002, 19.866645000000002, 17.91513, 17.91513, 14.458965, 14.458965, 17.86341]","[5.626292, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 5.381307, 5.381307, 6.378992, 6.378992, 5.626292, 5.626292, 6.863321, 6.863321, 7.585079, 7.585079, 7.890135, 7.890135, 6.14382, 6.14382, 5.487613, 5.487613, 3.187536, 3.187536, 2.763759, 2.763759, 9.157736, 9.157736, 15.345823, 15.345823, 21.03465, 21.03465, 24.583713, 24.583713, 27.264059, 27.264059, 30.089638, 30.089638, 28.992217, 28.992217, 21.03465]"
Aries,"[28.38255, 28.66002, 28.66002, 31.793325000000003]","[19.293852, 20.808035, 20.808035, 23.462423]"
Taurus,"[81.57297, 67.154145, 67.154145, 68.98015500000001, 68.98015500000001, 84.41119499999999, 68.98015500000001, 67.165575, 67.165575, 64.948335, 64.948335, 65.73370499999999, 65.73370499999999, 67.154145]","[28.60745, 19.180431, 19.180431, 16.509301, 16.509301, 21.142549, 16.509301, 15.870883, 15.870883, 15.627642, 15.627642, 17.542514, 17.542514, 19.180431]"
Gemini,"[116.329155, 110.030745, 110.030745, 106.027215, 106.027215, 99.42792, 99.42792, 101.32236, 113.64951, 107.784885, 107.784885, 100.98303, 100.98303, 95.740095, 95.740095, 93.719415, 93.719415, 91.03006500000001, 109.52324999999999, 110.030745, 110.030745, 107.784885, 107.784885, 103.19724]","[28.026199, 21.98232, 21.98232, 20.570297, 20.570297, 16.399252, 16.399252, 12.895591, 31.888276, 30.245163, 30.245163, 25.131124, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341, 16.540383, 21.98232, 21.98232, 30.245163, 30.245163, 33.961254]"
Cancer,"[134.62176, 131.17125, 131.17125, 130.82146500000002, 130.82146500000002, 131.666595, 131.17125, 124.12884000000001]","[11.857701, 18.154309, 18.154309, 21.468501, 21.468501, 28.765059, 18.154309, 9.185545]"
Leo,"[152.09298, 151.833135, 151.833135, 154.99309499999998, 154.99309499999998, 168.52706999999998, 168.52706999999998, 177.26494499999998, 177.26494499999998, 168.560025, 168.560025, 152.09298, 154.99309499999998, 154.17256500000002, 154.17256500000002, 148.19097, 148.19097, 146.46282000000002]","[11.967207, 16.762664, 16.762664, 19.841489, 19.841489, 20.523717, 20.523717, 14.57206, 14.57206, 15.42957, 15.42957, 11.967207, 19.841489, 23.417311, 23.417311, 26.006951, 26.006951, 23.774255]"
Virgo,"[201.298245, 197.48746500000001, 197.48746500000001, 190.415175, 190.415175, 184.97649, 184.97649, 177.67383, 190.415175, 193.90087499999998, 193.90087499999998, 195.54416999999998, 193.90087499999998, 195.54416999999998, 203.6733, 193.90087499999998, 193.90087499999998, 181.302255]","[-11.161322, -5.53901, -5.53901, -1.449375, -1.449375, -0.666803, -0.666803, 1.764718, -1.449375, 3.39747, 3.39747, 10.95915, 3.39747, 10.95915, -0.59582, 3.39747, 3.39747, 8.732985]"
Libra,"[226.017585, 222.719655, 222.719655, 229.251735, 229.251735, 233.881575, 233.881575, 234.25605, 222.719655, 233.881575]","[-25.281965, -16.041778, -16.041778, -9.382917, -9.382917, -14.789537, -14.789537, -28.135079, -16.041778, -14.789537]"
Scorpius,"[239.22115499999998, 239.712975, 239.712975, 240.08335499999998, 240.08335499999998, 241.35930000000002, 241.35930000000002, 242.99889000000002, 240.08335499999998, 245.297145, 245.297145, 247.35191999999998, 247.35191999999998, 248.97064500000002, 248.97064500000002, 252.54119999999998, 252.54119999999998, 253.083945, 253.083945, 253.64596500000002, 253.64596500000002, 258.03828, 258.03828, 264.3297, 264.3297, 266.89617000000004, 266.89617000000004, 265.62198, 265.62198, 263.402175]","[-29.214073, -26.114105, -26.114105, -22.62171, -22.62171, -19.805453, -19.805453, -19.460708, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -28.216016, -28.216016, -34.293232, -34.293232, -38.017536, -38.017536, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -39.029983, -37.103821]"
Sagittarius,"[290.431755, 290.418165, 290.418165, 289.40866500000004, 289.40866500000004, 287.440965, 287.440965, 286.17075, 286.17075, 284.432505, 284.432505, 283.81635, 290.80464, 290.971545, 290.971545, 285.65297999999996, 285.65297999999996, 286.73505, 286.73505, 283.81635, 283.81635, 281.4141, 281.4141, 276.992685, 273.44088, 276.992685, 276.992685, 275.24850000000004, 275.24850000000004, 276.04302, 276.04302, 274.406895, 275.24850000000004, 271.452045, 286.73505, 288.885105, 288.885105, 291.318705, 291.318705, 294.17679, 294.17679, 298.959765]","[-15.955018, -17.847197, -17.847197, -18.952908, -18.952908, -21.023615, -21.023615, -21.741496, -21.741496, -21.106654, -21.106654, -26.296722, -44.799778, -40.61594, -40.61594, -29.880105, -29.880105, -27.670423, -27.670423, -26.296722, -26.296722, -26.990778, -26.990778, -25.4217, -21.058834, -25.4217, -25.4217, -29.828103, -29.828103, -34.384616, -34.384616, -36.761686, -29.828103, -30.424091, -27.670423, -25.256682, -25.256682, -24.508575, -24.508575, -24.883623, -24.883623, -26.299506]"
Capricornus,"[304.51356, 305.25280499999997, 305.25280499999997, 307.21506, 307.21506, 311.5239, 311.5239, 312.95538, 312.95538, 316.78195500000004, 316.78195500000004, 321.66677999999996, 321.66677999999996, 326.760165, 326.760165, 325.022715, 325.022715, 320.56164, 320.56164, 316.48677000000004, 316.48677000000004, 307.21506]","[-12.544852, -14.781367, -14.781367, -17.813687, -17.813687, -25.270898, -25.270898, -26.919133, -26.919133, -25.005853, -25.005853, -22.411332, -22.411332, -16.127286, -16.127286, -16.662308, -16.662308, -16.834542, -16.834542, -17.232861, -17.232861, -17.813687]"
Aquarius,"[338.83908, 337.207965, 337.207965, 335.41407000000004, 335.41407000000004, 331.445985, 331.445985, 322.88973, 322.88973, 317.39853, 317.39853, 311.91897, 337.207965, 336.31926, 335.41407000000004, 334.20847499999996, 334.20847499999996, 331.60929, 334.20847499999996, 343.15364999999997, 343.15364999999997, 342.39792, 342.39792, 343.662555, 343.662555, 347.361645, 347.361645, 350.74263, 350.74263, 355.680585]","[-0.117498, -0.019972, -0.019972, -1.387331, -1.387331, -0.319851, -0.319851, -5.571172, -5.571172, -11.371693, -11.371693, -9.495776, -0.019972, 1.377401, -1.387331, -7.78329, -7.78329, -13.869679, -7.78329, -7.579599, -7.579599, -13.592632, -13.592632, -15.82082, -15.82082, -21.17241, -21.17241, -20.10058, -20.10058, -14.544905]"
Ursa Minor,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 222.676575, 222.676575, 230.182245, 230.182245, 244.376865, 244.376865, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 74.155505, 74.155505, 71.834016, 71.834016, 75.75533, 75.75533, 77.794493]"
Octans,"[0.39924000000000004, 341.51538, 341.51538, 216.732015, 216.732015, 325.368795, 325.368795, 335.00631, 335.00631, 341.51538]","[-77.065724, -81.381615, -81.381615, -83.667884, -83.667884, -77.390046, -77.390046, -80.439747, -80.439747, -81.381615]"
