name,ra,dec
Ursa Minor,"[37.94625, 263.05377, 263.05377, 251.49238499999998, 251.49238499999998, 236.014485, 236.014485, 244.376865, 244.376865, 230.182245, 230.182245, 222.676575, 222.676575, 236.014485]","[89.264109, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]"
Guardians,"[222.676575, 230.182245]","[74.155505, 71.834016]"
Draco,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201, 268.38201, 288.138375, 288.138375, 297.04275, 288.138375, 275.189325, 275.26104000000004, 275.189325, 275.189325, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998, 240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 67.661541, 71.337814, 72.732843, 71.337814, 71.337814, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
feet,"[275.26104000000004, 275.189325, 275.189325, 288.138375, 288.138375, 297.04275]","[72.732843, 71.337814, 71.337814, 67.661541, 67.661541, 70.26793]"
head,"[268.38201, 269.151555, 269.151555, 262.608195, 262.608195, 263.066505, 263.066505, 268.38201]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643]"
tail,"[275.189325, 257.19671999999997, 257.19671999999997, 245.99790000000002, 245.99790000000002, 240.47297999999998]","[71.337814, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251]"
tail,"[240.47297999999998, 231.23241000000002, 231.23241000000002, 211.097475, 211.097475, 188.37087000000002, 188.37087000000002, 172.85110500000002]","[58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]"
Cassiopeia,"[30.85902, 28.598760000000002, 28.598760000000002, 21.453239999999997, 21.453239999999997, 14.177145, 14.177145, 10.126740000000002, 10.126740000000002, 2.293305]","[72.421294, 63.670101, 63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.537331, 56.537331, 59.14978]"
Cepheus,"[337.292745, 342.4203, 342.4203, 322.16492999999997, 322.16492999999997, 319.64445, 319.64445, 311.322165, 311.322165, 307.395225, 319.64445, 325.876905, 325.876905, 333.75816000000003, 333.75816000000003, 332.71362, 332.71362, 337.292745, 332.71362, 326.36220000000003, 342.4203, 354.83729999999997, 354.83729999999997, 322.16492999999997]","[58.415198, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 61.838782, 61.838782, 62.994105, 62.585573, 58.780046, 58.780046, 57.043587, 57.043587, 58.201261, 58.201261, 58.415198, 58.201261, 61.120806, 66.200408, 77.632276, 77.632276, 70.560716]"
Camelopardalis,"[74.3217, 75.85454999999999, 75.85454999999999, 57.380355, 57.380355, 52.26723, 57.380355, 57.589529999999996, 57.589529999999996, 73.51254, 73.51254, 75.85454999999999, 73.51254, 105.016215, 105.016215, 94.711575]","[53.752101, 60.442245, 60.442245, 65.525972, 65.525972, 59.94033, 65.525972, 71.332266, 71.332266, 66.342678, 66.342678, 60.442245, 66.342678, 76.977408, 76.977408, 69.319787]"
